# AUTHBC hardware 802.11 ad-hoc broadcast sweep
# generated_utc=2026-08-05T15:49:28.416446+00:00
# git_rev=90b545c  host=DESKTOP-TROHJN7  python=3.12.3
# band=2.4GHz ch1 2412MHz (802.11b/g 1Mb/s basic rate)  frame_bytes=1400
# tx=pi-a(authbc-pi4a) rx=pi-b(authbc-pi4b), 2 nodes, one transmitter
# ⚠️ ONE transmitter: this measures LINK loss, NOT contention. It cannot
#    validate Ma & Chen, which is a model of N contending stations.
window,phase,offered_fps,achieved_fps,offered_mbps,sent_app,tx_frames_nic,tx_dropped_nic,rx_frames_nic,received_unique,duplicates,delivered_vs_app,delivered_vs_nic,rcvbuf_bytes
00,A,100,84.64,0.9479,1890,0,0,0,1847,0,0.977249,0.0,16777216
01,A,100,84.72,0.9488,1883,0,0,0,1833,0,0.973447,0.0,16777216
02,A,100,84.44,0.9457,1870,0,0,0,1820,0,0.973262,0.0,16777216
03,A,100,84.13,0.9423,1902,0,0,0,1848,0,0.971609,0.0,16777216
04,A,100,84.49,0.9463,1900,0,0,0,1853,0,0.975263,0.0,16777216
05,A,100,84.89,0.9508,1882,0,0,0,1839,0,0.977152,0.0,16777216
06,A,100,83.99,0.9407,1898,0,0,0,1848,0,0.973656,0.0,16777216
07,A,100,82.8,0.9274,1900,0,0,0,1851,0,0.974211,0.0,16777216
08,B,50,50.0,0.56,600,0,0,0,599,0,0.998333,0.0,16777216
09,B,100,86.18,0.9652,1055,0,0,0,1031,0,0.977251,0.0,16777216
10,B,200,86.88,0.973,1100,0,0,0,1026,0,0.932727,0.0,16777216
11,B,400,85.38,0.9563,1062,0,0,0,1036,0,0.975518,0.0,16777216
12,B,800,85.48,0.9574,1057,0,0,0,1036,0,0.980132,0.0,16777216
13,B,1600,87.45,0.9794,1096,0,0,0,999,0,0.911496,0.0,16777216
