# AUTHBC hardware 802.11 ad-hoc broadcast sweep
# generated_utc=2026-08-05T15:49:28.382421+00:00
# git_rev=90b545c  host=DESKTOP-TROHJN7  python=3.12.3
# band=5GHz ch36 5180MHz (802.11a)  frame_bytes=1400
# tx=pi-a(authbc-pi4a) rx=pi-b(authbc-pi4b), 2 nodes, one transmitter
# ⚠️ ONE transmitter: this measures LINK loss, NOT contention. It cannot
#    validate Ma & Chen, which is a model of N contending stations.
window,phase,offered_fps,achieved_fps,offered_mbps,sent_app,tx_frames_nic,tx_dropped_nic,rx_frames_nic,received_unique,duplicates,delivered_vs_app,delivered_vs_nic,rcvbuf_bytes
00,A,100,100.0,1.12,2200,2200,0,2200,2200,0,1.0,1.0,16777216
01,A,100,100.0,1.12,2200,2200,0,2199,2199,0,0.999545,0.999545,16777216
02,A,100,100.0,1.12,2200,2200,0,2199,2199,0,0.999545,0.999545,16777216
03,A,100,100.0,1.12,2200,2200,0,2200,2200,0,1.0,1.0,16777216
04,A,100,100.0,1.12,2200,2200,0,2200,2200,0,1.0,1.0,16777216
05,A,100,100.0,1.12,2200,2200,0,2199,2199,0,0.999545,0.999545,16777216
06,A,100,100.0,1.12,2200,2200,0,2199,2199,0,0.999545,0.999545,16777216
07,A,100,100.0,1.12,2200,2200,0,2200,2200,0,1.0,1.0,16777216
08,B,50,50.0,0.56,600,600,0,600,600,0,1.0,1.0,16777216
09,B,100,100.0,1.12,1200,1200,0,1200,1200,0,1.0,1.0,16777216
10,B,200,200.0,2.24,2400,2400,0,2398,2398,0,0.999167,0.999167,16777216
11,B,300,300.0,3.36,3600,3600,0,3595,3595,0,0.998611,0.998611,16777216
12,B,400,400.0,4.48,4800,4800,0,4794,4794,0,0.99875,0.99875,16777216
13,B,600,501.19,5.6133,6072,6072,0,6019,6019,0,0.991271,0.991271,16777216
14,B,900,501.07,5.612,6019,6019,0,5931,5931,0,0.98538,0.98538,16777216
