# host=authbc-pi4a
# run_utc=20260727T203737Z
# platform=Linux-6.12.93+rpt-rpi-v8-aarch64-with-glibc2.36
# python=3.12.13
# gpio_backend=libgpiod2
# duration_s=60.0
# reps=5
# manifest=full_manifest.json
# samples=full_samples.csv
# channel=P1
# reduced_utc=2026-07-27T20:37:40.931444+00:00
op,rep,p_idle_w,p_loop_w,delta_p_w,t_loop_s,n_ops,energy_per_op_j,energy_per_op_uj
ecdsa_p256:sign,1,1.90305,2.53918,0.63614,60.135368,434474,8.804724858690537e-05,88.047249
ecdsa_p256:sign,2,1.89765,2.52603,0.62838,60.135106,435681,8.673201449712524e-05,86.732014
ecdsa_p256:sign,3,1.89947,2.52938,0.62991,60.135607,433980,8.728572487824879e-05,87.285725
ecdsa_p256:sign,4,1.90763,2.55015,0.64252,60.135088,435643,8.869158942688883e-05,88.691589
ecdsa_p256:sign,5,1.90967,2.53873,0.62906,60.135063,435846,8.679365674695991e-05,86.793657
ecdsa_p256:verify,1,1.91039,2.52257,0.61217,60.326711,183029,0.0002017736662451597,201.773666
ecdsa_p256:verify,2,1.90677,2.53054,0.62377,60.327098,182973,0.00020565918508470049,205.659185
ecdsa_p256:verify,3,1.90244,2.52959,0.62715,60.327176,182950,0.00020680002280538387,206.800023
ecdsa_p256:verify,4,1.91443,2.53095,0.61652,60.326993,182756,0.0002035097353227413,203.509735
ecdsa_p256:verify,5,1.91096,2.52662,0.61565,60.327019,182989,0.0002029664049573236,202.966405
ed25519:sign,1,1.9118,2.68305,0.77124,60.088342,656241,7.061841267800614e-05,70.618413
ed25519:sign,2,1.91254,2.68137,0.76883,60.088242,656107,7.041171036964044e-05,70.41171
ed25519:sign,3,1.91181,2.67737,0.76556,60.08822,656132,7.01097096573805e-05,70.10971
ed25519:sign,4,1.90592,2.68363,0.77772,60.088251,655977,7.123974940524026e-05,71.239749
ed25519:sign,5,1.92056,2.69289,0.77233,60.08828,656225,7.07200484495293e-05,70.720048
ed25519:verify,1,1.92178,2.63373,0.71195,60.259922,229502,0.0001869344727423519,186.934473
ed25519:verify,2,1.92308,2.63481,0.71173,60.259554,229549,0.00018683860431994992,186.838604
ed25519:verify,3,1.92742,2.62986,0.70243,60.259677,229579,0.00018437419790668676,184.374198
ed25519:verify,4,1.91385,2.6245,0.71066,60.259737,229591,0.00018652356793863643,186.523568
ed25519:verify,5,1.91343,2.63106,0.71763,60.259661,229562,0.00018837677350411804,188.376774
bls:sign,1,1.92021,2.43717,0.51696,62.724275,22008,0.001473373753386892,1473.373753
bls:sign,2,1.9195,2.43109,0.51159,62.725951,22010,0.0014579667956565396,1457.966796
bls:sign,3,1.91967,2.43359,0.51392,62.725962,22010,0.0014646057312463492,1464.605731
bls:sign,4,1.92377,2.44629,0.52252,62.726147,22011,0.0014890596717724543,1489.059672
bls:sign,5,1.92174,2.428,0.50626,62.724109,22009,0.0014427994231791916,1442.799423
bls:verify,1,1.92003,2.44848,0.52845,68.615074,6966,0.005205190456478412,5205.190456
bls:verify,2,1.93427,2.45361,0.51934,68.618656,6967,0.005115067692460288,5115.067692
bls:verify,3,1.92713,2.44173,0.5146,68.618658,6967,0.005068332962465359,5068.332962
bls:verify,4,1.91832,2.43836,0.52003,68.619258,6967,0.00512190899694825,5121.908997
bls:verify,5,1.90917,2.43643,0.52726,68.612043,6966,0.005193284499144087,5193.284499
cbor:encode,1,1.91448,2.67124,0.75676,60.051522,1122824,4.047335633591221e-05,40.473356
cbor:encode,2,1.91564,2.66575,0.75011,60.05149,1128990,3.989885174509348e-05,39.898852
cbor:encode,3,1.92222,2.67527,0.75305,60.051376,1127426,4.0110462367435816e-05,40.110462
cbor:encode,4,1.91914,2.66489,0.74575,60.05144,1129511,3.9648680995413384e-05,39.648681
cbor:encode,5,1.9072,2.6625,0.7553,60.051747,1117606,4.058422278179197e-05,40.584223
delta:encode,1,1.90653,2.63286,0.72632,60.04836,1210556,3.6028405774037595e-05,36.028406
delta:encode,2,1.91391,2.64014,0.72624,60.048282,1204907,3.619303567137894e-05,36.193036
delta:encode,3,1.91549,2.64655,0.73106,60.048342,1205744,3.640835490022458e-05,36.408355
delta:encode,4,1.92737,2.64816,0.72078,60.04817,1205960,3.5889873809535086e-05,35.889874
delta:encode,5,1.92434,2.66147,0.73713,60.048432,1209492,3.659661608965005e-05,36.596616
