# schema=authbc.energy.samples/1
# capture_host=DESKTOP-TROHJN7
# platform=Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.39
# port=/dev/ttyACM0
# baud=115200
# capture_start_utc=20260727T231443Z
ms,window,wtrans,V1,I1_mA,P1_W,V2,I2_mA,P2_W
6734788,0,160,5.060,374.2,1.8980,5.220,418.8,2.1860
6734788,0,160,5.060,374.2,1.8980,5.220,418.8,2.1860
6734788,0,160,5.060,374.2,1.8980,5.220,418.8,2.1860
# sample_ms=20 two_sensors=1
8,0,0,5.072,371.6,1.8840,5.220,420.3,2.1920
28,0,0,5.084,368.3,1.8680,5.220,419.5,2.1880
48,0,0,5.072,368.4,1.8880,5.224,418.7,2.1860
68,0,0,5.068,369.9,1.8840,5.212,452.7,2.3560
88,0,0,5.068,372.2,1.8720,5.216,453.8,2.3620
108,0,0,5.068,376.2,1.9040,5.212,453.2,2.3620
128,0,0,5.084,368.4,1.8740,5.212,452.0,2.3560
148,0,0,5.056,372.3,1.8880,5.224,420.3,2.1960
168,0,0,5.060,371.7,1.8680,5.224,420.1,2.1880
188,0,0,5.056,372.1,1.8800,5.224,418.4,2.1860
208,0,0,5.072,369.7,1.8720,5.224,419.0,2.1860
228,0,0,5.028,422.1,2.1300,5.220,424.3,2.2120
248,0,0,5.060,373.4,1.8580,5.220,418.8,2.1860
268,0,0,5.044,404.9,2.0520,5.220,419.0,2.1920
288,0,0,5.052,402.1,2.0620,5.220,420.2,2.1860
308,0,0,5.044,403.6,2.0340,5.220,420.2,2.1920
328,0,0,5.028,447.0,2.2380,5.216,417.4,2.1760
348,0,0,5.056,374.8,1.9040,5.224,429.2,2.2380
368,0,0,5.056,372.3,1.8800,5.216,429.8,2.2420
388,0,0,5.072,370.5,1.8880,5.220,419.1,2.1820
408,0,0,5.072,371.4,1.8800,5.220,420.2,2.1920
428,0,0,5.068,379.3,1.9200,5.220,459.6,2.3960
448,0,0,5.072,367.0,1.8940,5.220,421.8,2.2020
468,0,0,5.068,371.5,1.8800,5.224,420.1,2.1960
488,0,0,5.068,370.1,1.8720,5.220,419.4,2.1880
508,0,0,5.064,372.6,1.8880,5.220,420.2,2.1920
528,0,0,5.068,374.2,1.8980,5.224,430.9,2.2440
548,0,0,5.072,366.3,1.8940,5.220,418.9,2.1860
568,0,0,5.060,375.1,1.8580,5.220,418.7,2.1960
588,0,0,5.064,368.3,1.8900,5.220,419.5,2.1920
608,0,0,5.072,372.6,1.8880,5.220,420.7,2.1960
628,0,0,5.064,370.5,1.8780,5.224,421.2,2.1960
648,0,0,5.076,369.2,1.8640,5.224,419.5,2.1880
668,0,0,5.068,366.9,1.8940,5.220,420.9,2.1880
688,0,0,5.060,372.6,1.8740,5.220,418.9,2.1920
708,0,0,5.068,367.3,1.8620,5.220,419.9,2.1920
728,0,0,5.060,373.6,1.8900,5.224,420.3,2.1960
748,0,0,5.064,372.7,1.8720,5.220,419.7,2.1880
768,0,0,5.068,368.3,1.8840,5.224,420.0,2.1860
788,0,0,5.068,371.2,1.8800,5.220,419.4,2.1920
808,0,0,5.064,368.5,1.8640,5.220,419.7,2.1920
828,0,0,5.072,374.6,1.8980,5.220,419.7,2.1920
848,0,0,5.072,369.8,1.8680,5.220,419.5,2.1960
868,0,0,5.060,371.3,1.8780,5.224,419.8,2.1880
888,0,0,5.068,367.9,1.8620,5.220,419.3,2.1920
908,0,0,5.068,367.1,1.8580,5.220,418.5,2.1820
928,0,0,5.056,367.3,1.8580,5.220,419.2,2.1860
948,0,0,5.084,374.5,1.8640,5.220,419.5,2.1880
968,0,0,5.064,374.7,1.8520,5.224,418.8,2.1920
988,0,0,5.060,367.2,1.8580,5.220,419.9,2.1960
1008,0,0,5.068,375.8,1.9040,5.220,420.6,2.1960
1028,0,0,5.060,368.5,1.8640,5.216,419.9,2.1920
1048,0,0,5.076,385.3,1.9140,5.220,418.8,2.1880
1068,0,0,5.056,374.8,1.8540,5.220,418.6,2.1880
1088,0,0,5.072,371.8,1.8840,5.220,419.8,2.1920
1108,0,0,5.068,373.0,1.8900,5.220,417.8,2.1820
1128,0,0,5.072,369.6,1.8720,5.224,418.9,2.1860
1148,0,0,5.024,412.2,1.9620,5.220,420.4,2.1920
1168,0,0,5.060,375.2,1.8520,5.220,419.4,2.1920
1188,0,0,5.072,373.5,1.8940,5.220,418.8,2.1880
1208,0,0,5.064,374.0,1.8940,5.220,418.9,2.1860
1228,0,0,5.060,370.9,1.8780,5.224,419.8,2.1880
1248,0,0,5.052,377.8,1.9920,5.212,459.3,2.3880
1268,0,0,5.076,372.1,1.8800,5.220,419.9,2.1920
1288,0,0,5.064,367.0,1.8580,5.220,419.8,2.1860
1308,0,0,5.064,372.6,1.8880,5.220,420.9,2.1980
1328,0,0,5.068,372.5,1.8880,5.224,419.6,2.1880
1348,0,0,5.068,366.8,1.8900,5.220,442.6,2.3920
1368,0,0,5.060,374.2,1.8540,5.220,419.6,2.1880
1388,0,0,5.072,372.2,1.8880,5.220,419.2,2.1920
1408,0,0,5.064,372.5,1.8880,5.224,419.2,2.1880
1428,0,0,5.072,368.8,1.8680,5.220,419.1,2.1880
1448,0,0,5.060,372.2,1.8580,5.220,419.9,2.2220
1468,0,0,5.064,375.1,1.8520,5.220,419.2,2.1960
1488,0,0,5.060,368.7,1.8640,5.216,420.1,2.1820
1508,0,0,5.064,373.7,1.8940,5.220,419.4,2.1880
1528,0,0,5.060,366.8,1.8580,5.224,419.2,2.1880
1548,0,0,5.060,371.8,1.8740,5.220,419.1,2.1880
1568,0,0,5.072,368.1,1.8880,5.220,421.3,2.1920
1588,0,0,5.060,366.6,1.8580,5.220,419.5,2.1920
1608,0,0,5.072,370.9,1.8800,5.220,419.1,2.1880
1628,0,0,5.064,366.8,1.8540,5.224,419.6,2.1880
1648,0,0,5.064,373.4,1.8740,5.224,419.1,2.1820
1668,0,0,5.068,367.5,1.8800,5.220,418.9,2.1880
1688,0,0,5.072,375.2,1.9000,5.220,418.7,2.1880
1708,0,0,5.060,366.0,1.8520,5.220,419.7,2.1920
1728,0,0,5.072,375.0,1.9000,5.220,420.8,2.1960
1748,0,0,5.072,366.5,1.8880,5.220,419.6,2.1880
1768,0,0,5.084,369.0,1.8640,5.220,420.1,2.1820
1788,0,0,5.072,372.3,1.8880,5.220,419.6,2.1880
1808,0,0,5.056,370.7,1.8780,5.224,419.5,2.1880
1828,0,0,5.072,372.3,1.8880,5.220,417.7,2.1800
1848,0,0,5.060,371.3,1.8880,5.220,419.9,2.1880
1868,0,0,5.092,366.6,1.8880,5.220,419.2,2.1880
