# device_model=Raspberry Pi 4 Model B Rev 1.5
# device_host=authbc-pi4a
# device_governor=performance
# device_temp_before=temp=48.7'C
# device_temp_after=temp=55.5'C
# device_throttled_before=0x0
# device_throttled_after=0x0
# run_utc=20260727T170149Z
# python=3.12.13
# platform=Linux-6.12.93+rpt-rpi-v8-aarch64-with-glibc2.36
# cpu=unknown
# governor=WSL, governor uncontrolled
# cryptography=45.0.7
# blspy=2.0.3
# cbor2=5.8.0
# msgpack=1.2.1
# run=p1_crypto
# seed=1
# msg_bytes=200
# config_hash=3fdda7e4792f3b27
scheme,op,agg_b,msg_bytes,median_ns,ci_lo_ns,ci_hi_ns,n_ops,checksum
ecdsa_p256,sign,,200,135522.7,135463.0,135575.1,10000,555127112261973796
ecdsa_p256,verify,,200,326905.5,326885.0,326940.0,10000,1879924464967412048
ed25519,sign,,200,88120.2,88112.4,88132.2,10000,14569473558630159792
ed25519,verify,,200,259498.7,259463.0,259525.2,10000,1879924464967412048
bls,sign,,200,2729787.0,2729639.0,2729879.0,367,9049777146092518227
bls,verify,,200,8611751.5,8611547.5,8612103.0,200,1879924464967412048
bls,aggregate,2,200,1282719.0,1282681.0,1282774.5,778,13062438066062420624
bls,agg_verify,2,200,10527079.5,10526755.5,10527514.5,200,1879924464967412048
bls,aggregate,4,200,2547697.0,2547568.0,2547772.0,393,2227744512926338943
bls,agg_verify,4,200,15753286.0,15752990.0,15753787.0,159,4632021919031259221
bls,aggregate,8,200,5063302.5,5063219.0,5063525.0,200,6580089358182240688
bls,agg_verify,8,200,26209285.0,26208562.5,26210183.0,96,6619265955067750848
bls,aggregate,16,200,10107383.5,10106976.0,10108254.0,200,14569709379161025472
bls,agg_verify,16,200,47692115.0,47690560.0,47693837.0,53,2878375707929197721
bls,aggregate,32,200,20183721.5,20183147.5,20184231.5,124,10564298086261920216
bls,agg_verify,32,200,90662157.0,90658397.5,90672573.5,28,911967836325779224
