# device_model=Raspberry Pi 4 Model B Rev 1.4
# device_host=authbc-pi4b
# device_governor=performance
# device_temp_before=temp=44.8'C
# device_temp_after=temp=51.6'C
# device_throttled_before=0x0
# device_throttled_after=0x0
# run_utc=20260727T190353Z
# python=3.12.13
# platform=Linux-6.12.93+rpt-rpi-v8-aarch64-with-glibc2.36
# cpu=unknown
# governor=WSL, governor uncontrolled
# cryptography=45.0.7
# blspy=2.0.3
# cbor2=5.8.0
# msgpack=1.2.1
# run=p1_crypto
# seed=1
# msg_bytes=200
# config_hash=3fdda7e4792f3b27
scheme,op,agg_b,msg_bytes,median_ns,ci_lo_ns,ci_hi_ns,n_ops,checksum
ecdsa_p256,sign,,200,134785.0,134751.7,134811.5,10000,13022555684819244312
ecdsa_p256,verify,,200,326758.2,326735.7,326770.4,10000,1879924464967412048
ed25519,sign,,200,87807.1,87800.8,87813.0,10000,14569473558630159792
ed25519,verify,,200,258731.0,258699.3,258771.3,10000,1879924464967412048
bls,sign,,200,2727214.0,2726937.0,2727343.0,367,9049777146092518227
bls,verify,,200,8612055.5,8611907.0,8612315.0,200,1879924464967412048
bls,aggregate,2,200,1282479.0,1282442.0,1282516.0,779,5733389558540043396
bls,agg_verify,2,200,10526877.0,10526682.5,10527080.5,200,1879924464967412048
bls,aggregate,4,200,2547572.0,2547479.0,2547645.0,393,2227744512926338943
bls,agg_verify,4,200,15753794.0,15753405.0,15754312.0,159,4632021919031259221
bls,aggregate,8,200,5062797.0,5062704.0,5062991.5,200,6580089358182240688
bls,agg_verify,8,200,26209468.5,26208099.0,26211135.0,96,6619265955067750848
bls,aggregate,16,200,10106539.5,10103966.0,10106919.0,200,14569709379161025472
bls,agg_verify,16,200,47693644.0,47691810.0,47695662.0,53,2878375707929197721
bls,aggregate,32,200,20181920.5,20181522.0,20182225.5,124,10564298086261920216
bls,agg_verify,32,200,90673241.0,90666810.0,90679440.0,28,911967836325779224
