# python=3.12.3
# platform=Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.39
# cpu=Intel(R) Core(TM) i5-14400F
# governor=WSL, governor uncontrolled
# cryptography=45.0.7
# blspy=2.0.3
# cbor2=5.8.0
# msgpack=1.2.1
# run=capacity_envelope
# config_hash=aa37faddc24fca6e
n_local,lambda_rec_per_s,b,binds,frame_bytes,bytes_per_rec,frames_needed_per_s,channel_util,verdict,n_max_u_lt_1,n_max_v95_mean,n_max_v95_strict_lo,n_max_v95_strict_hi
5,1,1,freshness,153.0,152.998,5.0,0.0021,safe,,,,
5,5,1,freshness,153.0,152.998,25.0,0.0106,safe,,,,
5,10,2,freshness,198.0,98.998,25.0,0.0126,safe,,,,
5,20,5,freshness,333.0,66.598,20.0,0.0147,safe,,,,
5,50,12,freshness,648.0,53.998,20.83,0.0267,safe,,,,
10,1,1,freshness,153.0,152.998,10.0,0.0058,safe,,,,
10,5,1,freshness,153.0,152.998,50.0,0.0289,safe,,,,
10,10,2,freshness,198.0,98.998,50.0,0.0343,safe,,,,
10,20,5,freshness,333.0,66.598,40.0,0.0404,safe,,,,
10,50,12,freshness,648.0,53.998,41.67,0.0736,safe,,,,
20,1,1,freshness,153.0,152.998,20.0,0.0202,safe,,,,
20,5,1,freshness,153.0,152.998,100.0,0.1009,safe,,,,
20,10,2,freshness,198.0,98.998,100.0,0.1199,safe,,,,
20,20,5,freshness,333.0,66.598,80.0,0.1416,safe,,,,
20,50,12,freshness,648.0,53.998,83.33,0.2584,safe,,,,
35,1,1,freshness,153.0,152.998,35.0,0.0506,safe,,,,
35,5,1,freshness,153.0,152.998,175.0,0.2529,safe,,,,
35,10,2,freshness,198.0,98.998,175.0,0.3008,safe,,,,
35,20,5,freshness,333.0,66.598,140.0,0.3554,safe,,,,
35,50,12,freshness,648.0,53.998,145.83,0.6493,busy,,,,
50,1,1,freshness,153.0,152.998,50.0,0.0711,safe,,,,
50,5,1,freshness,153.0,152.998,250.0,0.3554,safe,,,,
50,10,2,freshness,198.0,98.998,250.0,0.4228,safe,,,,
50,20,5,freshness,333.0,66.598,200.0,0.4999,safe,,,,
50,50,12,freshness,648.0,53.998,208.33,0.9135,tight,,,,
75,1,1,freshness,153.0,152.998,75.0,0.096,safe,,,,
75,5,1,freshness,153.0,152.998,375.0,0.48,safe,,,,
75,10,2,freshness,198.0,98.998,375.0,0.5712,busy,,,,
75,20,5,freshness,333.0,66.598,300.0,0.6756,busy,,,,
75,50,12,freshness,648.0,53.998,312.5,1.2354,over-capacity,,,,
100,1,1,freshness,153.0,152.998,100.0,0.123,safe,,,,
100,5,1,freshness,153.0,152.998,500.0,0.615,busy,,,,
100,10,2,freshness,198.0,98.998,500.0,0.7319,busy,,,,
100,20,5,freshness,333.0,66.598,400.0,0.8661,tight,,,,
100,50,12,freshness,648.0,53.998,416.67,1.5841,over-capacity,,,,
ENVELOPE,20,4,optimized delta/B @250ms,288.0,71.998,,,N_max=103,103,213,163,201
ENVELOPE,20,1,A+CBOR Pillar-1 @250ms,174.3,174.252,,,N_max=32,32,88,54,80
ENVELOPE,20,1,A+JSON naive @250ms,299.1,299.085,,,N_max=25,25,53,35,48
ENVELOPE,50,4,optimized delta/B @3GPP100ms/50Hz,288.0,71.998,,,N_max=35,35,100,64,91
ENVELOPE,50,1,A+CBOR Pillar-1 @3GPP100ms/50Hz,174.3,174.252,,,N_max=18,18,31,24,29
ENVELOPE,20,1,optimized delta/B @3GPP100ms/20Hz,153.0,152.998,,,N_max=34,34,98,62,89
ENVELOPE,10,1,optimized delta/B @3GPP100ms/10Hz,153.0,152.998,,,N_max=78,78,180,134,169
