# python=3.12.3
# platform=Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.39
# cpu=Intel(R) Core(TM) i5-14400F
# governor=WSL, governor uncontrolled
# cryptography=45.0.7
# blspy=2.0.3
# cbor2=5.8.0
# msgpack=1.2.1
# run=e2_batching
# config_hash=0d38877db341e299
mtu,placement,encoding,s,b,b_max,frame_bytes,bytes_per_rec,phi_overhead_pct,A_at_b,A_formula,is_bmax,binds,b_ceiling,A_effective
256,A,cbor,68.94,1,1,172.94,172.936,60.14,2.5087,,1,,,
256,A,msgpack,68.84,1,1,172.84,172.836,60.17,2.5108,,1,,,
256,A,delta,45.01,1,1,149.01,149.005,69.8,3.3108,,1,,,
256,B,cbor,68.94,1,2,172.94,172.936,60.14,2.5087,1.6842,0,mtu,2,1.6842
256,B,cbor,68.94,2,2,241.87,120.936,43.0,1.7543,1.6842,1,mtu,2,1.6842
256,B,msgpack,68.84,1,2,172.84,172.836,60.17,2.5108,1.6842,0,mtu,2,1.6842
256,B,msgpack,68.84,2,2,241.67,120.836,43.03,1.7554,1.6842,1,mtu,2,1.6842
256,B,delta,45.01,1,3,149.01,149.005,69.8,3.3108,1.6842,0,mtu,3,1.6842
256,B,delta,45.01,2,3,194.01,97.005,53.61,2.1554,1.6842,0,mtu,3,1.6842
256,B,delta,45.01,3,3,239.02,79.672,43.51,1.7703,1.6842,1,mtu,3,1.6842
576,A,json,193.52,1,2,297.52,297.518,34.96,1.5374,,0,,,
576,A,json,193.52,2,2,555.04,277.518,30.27,1.4341,,1,,,
576,A,cbor,68.94,1,4,172.94,172.936,60.14,2.5087,,0,,,
576,A,cbor,68.94,2,4,305.87,152.936,54.93,2.2185,,0,,,
576,A,cbor,68.94,3,4,438.81,146.269,52.87,2.1218,,0,,,
576,A,cbor,68.94,4,4,571.74,142.936,51.77,2.0735,,1,,,
576,A,msgpack,68.84,1,4,172.84,172.836,60.17,2.5108,,0,,,
576,A,msgpack,68.84,2,4,305.67,152.836,54.96,2.2203,,0,,,
576,A,msgpack,68.84,3,4,438.51,146.169,52.91,2.1234,,0,,,
576,A,msgpack,68.84,4,4,571.34,142.836,51.81,2.075,,1,,,
576,A,delta,45.01,1,4,149.01,149.005,69.8,3.3108,,0,,,
576,A,delta,45.01,2,4,258.01,129.005,65.11,2.8664,,0,,,
576,A,delta,45.01,3,4,367.02,122.339,63.21,2.7183,,0,,,
576,A,delta,45.01,4,4,476.02,119.005,62.18,2.6442,,1,,,
576,B,json,193.52,1,2,297.52,297.518,34.96,1.5374,1.2203,0,mtu,2,1.2203
576,B,json,193.52,2,2,491.04,245.518,21.18,1.2687,1.2203,1,mtu,2,1.2203
576,B,cbor,68.94,1,6,172.94,172.936,60.14,2.5087,1.2203,0,freshness,5,1.0
576,B,cbor,68.94,2,6,241.87,120.936,43.0,1.7543,1.2203,0,freshness,5,1.0
576,B,cbor,68.94,3,6,310.81,103.602,33.46,1.5029,1.2203,0,freshness,5,1.0
576,B,cbor,68.94,4,6,379.74,94.936,27.39,1.3772,1.2203,0,freshness,5,1.0
576,B,cbor,68.94,5,6,448.68,89.736,23.18,1.3017,1.2203,0,freshness,5,1.0
576,B,cbor,68.94,6,6,517.61,86.269,20.09,1.2514,1.2203,1,freshness,5,1.0
576,B,msgpack,68.84,1,6,172.84,172.836,60.17,2.5108,1.2203,0,freshness,5,1.0
576,B,msgpack,68.84,2,6,241.67,120.836,43.03,1.7554,1.2203,0,freshness,5,1.0
576,B,msgpack,68.84,3,6,310.51,103.502,33.49,1.5036,1.2203,0,freshness,5,1.0
576,B,msgpack,68.84,4,6,379.34,94.836,27.42,1.3777,1.2203,0,freshness,5,1.0
576,B,msgpack,68.84,5,6,448.18,89.636,23.21,1.3022,1.2203,0,freshness,5,1.0
576,B,msgpack,68.84,6,6,517.01,86.169,20.12,1.2518,1.2203,1,freshness,5,1.0
576,B,delta,45.01,1,10,149.01,149.005,69.8,3.3108,1.2203,0,freshness,5,1.0
576,B,delta,45.01,2,10,194.01,97.005,53.61,2.1554,1.2203,0,freshness,5,1.0
576,B,delta,45.01,3,10,239.02,79.672,43.51,1.7703,1.2203,0,freshness,5,1.0
576,B,delta,45.01,4,10,284.02,71.005,36.62,1.5777,1.2203,0,freshness,5,1.0
576,B,delta,45.01,5,10,329.03,65.805,31.61,1.4622,1.2203,0,freshness,5,1.0
576,B,delta,45.01,6,10,374.03,62.339,27.81,1.3851,1.2203,0,freshness,5,1.0
576,B,delta,45.01,7,10,419.04,59.863,24.82,1.3301,1.2203,0,freshness,5,1.0
576,B,delta,45.01,8,10,464.04,58.005,22.41,1.2889,1.2203,0,freshness,5,1.0
576,B,delta,45.01,9,10,509.05,56.561,20.43,1.2568,1.2203,0,freshness,5,1.0
576,B,delta,45.01,10,10,554.05,55.405,18.77,1.2311,1.2203,1,freshness,5,1.0
1500,A,json,193.52,1,5,297.52,297.518,34.96,1.5374,,0,,,
1500,A,json,193.52,2,5,555.04,277.518,30.27,1.4341,,0,,,
1500,A,json,193.52,3,5,812.55,270.851,28.55,1.3996,,0,,,
1500,A,json,193.52,4,5,1070.07,267.518,27.66,1.3824,,0,,,
1500,A,json,193.52,5,5,1327.59,265.518,27.12,1.3721,,1,,,
1500,A,cbor,68.94,1,10,172.94,172.936,60.14,2.5087,,0,,,
1500,A,cbor,68.94,2,10,305.87,152.936,54.93,2.2185,,0,,,
1500,A,cbor,68.94,3,10,438.81,146.269,52.87,2.1218,,0,,,
1500,A,cbor,68.94,4,10,571.74,142.936,51.77,2.0735,,0,,,
1500,A,cbor,68.94,5,10,704.68,140.936,51.09,2.0445,,0,,,
1500,A,cbor,68.94,6,10,837.61,139.602,50.62,2.0251,,0,,,
1500,A,cbor,68.94,7,10,970.55,138.65,50.28,2.0113,,0,,,
1500,A,cbor,68.94,8,10,1103.49,137.936,50.02,2.0009,,0,,,
1500,A,cbor,68.94,9,10,1236.42,137.38,49.82,1.9929,,0,,,
1500,A,cbor,68.94,10,10,1369.36,136.936,49.66,1.9864,,1,,,
1500,A,msgpack,68.84,1,10,172.84,172.836,60.17,2.5108,,0,,,
1500,A,msgpack,68.84,2,10,305.67,152.836,54.96,2.2203,,0,,,
1500,A,msgpack,68.84,3,10,438.51,146.169,52.91,2.1234,,0,,,
1500,A,msgpack,68.84,4,10,571.34,142.836,51.81,2.075,,0,,,
1500,A,msgpack,68.84,5,10,704.18,140.836,51.12,2.046,,0,,,
1500,A,msgpack,68.84,6,10,837.01,139.502,50.66,2.0266,,0,,,
1500,A,msgpack,68.84,7,10,969.85,138.55,50.32,2.0128,,0,,,
1500,A,msgpack,68.84,8,10,1102.69,137.836,50.06,2.0024,,0,,,
1500,A,msgpack,68.84,9,10,1235.52,137.28,49.86,1.9943,,0,,,
1500,A,msgpack,68.84,10,10,1368.36,136.836,49.69,1.9879,,1,,,
1500,A,delta,45.01,1,13,149.01,149.005,69.8,3.3108,,0,,,
1500,A,delta,45.01,2,13,258.01,129.005,65.11,2.8664,,0,,,
1500,A,delta,45.01,3,13,367.02,122.339,63.21,2.7183,,0,,,
1500,A,delta,45.01,4,13,476.02,119.005,62.18,2.6442,,0,,,
1500,A,delta,45.01,5,13,585.03,117.005,61.54,2.5998,,0,,,
1500,A,delta,45.01,6,13,694.03,115.672,61.09,2.5702,,0,,,
1500,A,delta,45.01,7,13,803.04,114.72,60.77,2.549,,0,,,
1500,A,delta,45.01,8,13,912.04,114.005,60.52,2.5331,,0,,,
1500,A,delta,45.01,9,13,1021.05,113.45,60.33,2.5208,,0,,,
1500,A,delta,45.01,10,13,1130.05,113.005,60.17,2.5109,,0,,,
1500,A,delta,45.01,11,13,1239.06,112.642,60.05,2.5028,,0,,,
1500,A,delta,45.01,12,13,1348.06,112.339,59.94,2.4961,,0,,,
1500,A,delta,45.01,13,13,1457.07,112.082,59.85,2.4904,,1,,,
1500,B,json,193.52,1,7,297.52,297.518,34.96,1.5374,1.0745,0,freshness,5,1.0
1500,B,json,193.52,2,7,491.04,245.518,21.18,1.2687,1.0745,0,freshness,5,1.0
1500,B,json,193.52,3,7,684.55,228.184,15.19,1.1791,1.0745,0,freshness,5,1.0
1500,B,json,193.52,4,7,878.07,219.518,11.84,1.1344,1.0745,0,freshness,5,1.0
1500,B,json,193.52,5,7,1071.59,214.318,9.71,1.1075,1.0745,0,freshness,5,1.0
1500,B,json,193.52,6,7,1265.11,210.851,8.22,1.0896,1.0745,0,freshness,5,1.0
1500,B,json,193.52,7,7,1458.62,208.375,7.13,1.0768,1.0745,1,freshness,5,1.0
1500,B,cbor,68.94,1,20,172.94,172.936,60.14,2.5087,1.0745,0,freshness,5,1.0
1500,B,cbor,68.94,2,20,241.87,120.936,43.0,1.7543,1.0745,0,freshness,5,1.0
1500,B,cbor,68.94,3,20,310.81,103.602,33.46,1.5029,1.0745,0,freshness,5,1.0
1500,B,cbor,68.94,4,20,379.74,94.936,27.39,1.3772,1.0745,0,freshness,5,1.0
1500,B,cbor,68.94,5,20,448.68,89.736,23.18,1.3017,1.0745,0,freshness,5,1.0
1500,B,cbor,68.94,6,20,517.61,86.269,20.09,1.2514,1.0745,0,freshness,5,1.0
1500,B,cbor,68.94,7,20,586.55,83.793,17.73,1.2155,1.0745,0,freshness,5,1.0
1500,B,cbor,68.94,8,20,655.49,81.936,15.87,1.1886,1.0745,0,freshness,5,1.0
1500,B,cbor,68.94,9,20,724.42,80.491,14.36,1.1676,1.0745,0,freshness,5,1.0
1500,B,cbor,68.94,10,20,793.36,79.336,13.11,1.1509,1.0745,0,freshness,5,1.0
1500,B,cbor,68.94,11,20,862.29,78.39,12.06,1.1372,1.0745,0,freshness,5,1.0
1500,B,cbor,68.94,12,20,931.23,77.602,11.17,1.1257,1.0745,0,freshness,5,1.0
1500,B,cbor,68.94,13,20,1000.17,76.936,10.4,1.1161,1.0745,0,freshness,5,1.0
1500,B,cbor,68.94,14,20,1069.1,76.364,9.73,1.1078,1.0745,0,freshness,5,1.0
1500,B,cbor,68.94,15,20,1138.04,75.869,9.14,1.1006,1.0745,0,freshness,5,1.0
1500,B,cbor,68.94,16,20,1206.97,75.436,8.62,1.0943,1.0745,0,freshness,5,1.0
1500,B,cbor,68.94,17,20,1275.91,75.053,8.15,1.0887,1.0745,0,freshness,5,1.0
1500,B,cbor,68.94,18,20,1344.84,74.714,7.73,1.0838,1.0745,0,freshness,5,1.0
1500,B,cbor,68.94,19,20,1413.78,74.409,7.36,1.0794,1.0745,0,freshness,5,1.0
1500,B,cbor,68.94,20,20,1482.72,74.136,7.01,1.0754,1.0745,1,freshness,5,1.0
1500,B,msgpack,68.84,1,20,172.84,172.836,60.17,2.5108,1.0745,0,freshness,5,1.0
1500,B,msgpack,68.84,2,20,241.67,120.836,43.03,1.7554,1.0745,0,freshness,5,1.0
1500,B,msgpack,68.84,3,20,310.51,103.502,33.49,1.5036,1.0745,0,freshness,5,1.0
1500,B,msgpack,68.84,4,20,379.34,94.836,27.42,1.3777,1.0745,0,freshness,5,1.0
1500,B,msgpack,68.84,5,20,448.18,89.636,23.21,1.3022,1.0745,0,freshness,5,1.0
1500,B,msgpack,68.84,6,20,517.01,86.169,20.12,1.2518,1.0745,0,freshness,5,1.0
1500,B,msgpack,68.84,7,20,585.85,83.693,17.75,1.2158,1.0745,0,freshness,5,1.0
1500,B,msgpack,68.84,8,20,654.69,81.836,15.89,1.1889,1.0745,0,freshness,5,1.0
1500,B,msgpack,68.84,9,20,723.52,80.391,14.37,1.1679,1.0745,0,freshness,5,1.0
1500,B,msgpack,68.84,10,20,792.36,79.236,13.13,1.1511,1.0745,0,freshness,5,1.0
1500,B,msgpack,68.84,11,20,861.19,78.29,12.08,1.1373,1.0745,0,freshness,5,1.0
1500,B,msgpack,68.84,12,20,930.03,77.502,11.18,1.1259,1.0745,0,freshness,5,1.0
1500,B,msgpack,68.84,13,20,998.87,76.836,10.41,1.1162,1.0745,0,freshness,5,1.0
1500,B,msgpack,68.84,14,20,1067.7,76.264,9.74,1.1079,1.0745,0,freshness,5,1.0
1500,B,msgpack,68.84,15,20,1136.54,75.769,9.15,1.1007,1.0745,0,freshness,5,1.0
1500,B,msgpack,68.84,16,20,1205.37,75.336,8.63,1.0944,1.0745,0,freshness,5,1.0
1500,B,msgpack,68.84,17,20,1274.21,74.953,8.16,1.0889,1.0745,0,freshness,5,1.0
1500,B,msgpack,68.84,18,20,1343.04,74.614,7.74,1.0839,1.0745,0,freshness,5,1.0
1500,B,msgpack,68.84,19,20,1411.88,74.309,7.37,1.0795,1.0745,0,freshness,5,1.0
1500,B,msgpack,68.84,20,20,1480.72,74.036,7.02,1.0755,1.0745,1,freshness,5,1.0
1500,B,delta,45.01,1,31,149.01,149.005,69.8,3.3108,1.0745,0,freshness,5,1.0
1500,B,delta,45.01,2,31,194.01,97.005,53.61,2.1554,1.0745,0,freshness,5,1.0
1500,B,delta,45.01,3,31,239.02,79.672,43.51,1.7703,1.0745,0,freshness,5,1.0
1500,B,delta,45.01,4,31,284.02,71.005,36.62,1.5777,1.0745,0,freshness,5,1.0
1500,B,delta,45.01,5,31,329.03,65.805,31.61,1.4622,1.0745,0,freshness,5,1.0
1500,B,delta,45.01,6,31,374.03,62.339,27.81,1.3851,1.0745,0,freshness,5,1.0
1500,B,delta,45.01,7,31,419.04,59.863,24.82,1.3301,1.0745,0,freshness,5,1.0
1500,B,delta,45.01,8,31,464.04,58.005,22.41,1.2889,1.0745,0,freshness,5,1.0
1500,B,delta,45.01,9,31,509.05,56.561,20.43,1.2568,1.0745,0,freshness,5,1.0
1500,B,delta,45.01,10,31,554.05,55.405,18.77,1.2311,1.0745,0,freshness,5,1.0
1500,B,delta,45.01,11,31,599.06,54.46,17.36,1.2101,1.0745,0,freshness,5,1.0
1500,B,delta,45.01,12,31,644.06,53.672,16.15,1.1926,1.0745,0,freshness,5,1.0
1500,B,delta,45.01,13,31,689.07,53.005,15.09,1.1778,1.0745,0,freshness,5,1.0
1500,B,delta,45.01,14,31,734.08,52.434,14.17,1.1651,1.0745,0,freshness,5,1.0
1500,B,delta,45.01,15,31,779.08,51.939,13.35,1.1541,1.0745,0,freshness,5,1.0
1500,B,delta,45.01,16,31,824.09,51.505,12.62,1.1444,1.0745,0,freshness,5,1.0
1500,B,delta,45.01,17,31,869.09,51.123,11.97,1.1359,1.0745,0,freshness,5,1.0
1500,B,delta,45.01,18,31,914.1,50.783,11.38,1.1284,1.0745,0,freshness,5,1.0
1500,B,delta,45.01,19,31,959.1,50.479,10.84,1.1216,1.0745,0,freshness,5,1.0
1500,B,delta,45.01,20,31,1004.11,50.205,10.36,1.1155,1.0745,0,freshness,5,1.0
1500,B,delta,45.01,21,31,1049.11,49.958,9.91,1.11,1.0745,0,freshness,5,1.0
1500,B,delta,45.01,22,31,1094.12,49.733,9.51,1.105,1.0745,0,freshness,5,1.0
1500,B,delta,45.01,23,31,1139.12,49.527,9.13,1.1005,1.0745,0,freshness,5,1.0
1500,B,delta,45.01,24,31,1184.13,49.339,8.78,1.0963,1.0745,0,freshness,5,1.0
1500,B,delta,45.01,25,31,1229.13,49.165,8.46,1.0924,1.0745,0,freshness,5,1.0
1500,B,delta,45.01,26,31,1274.14,49.005,8.16,1.0889,1.0745,0,freshness,5,1.0
1500,B,delta,45.01,27,31,1319.15,48.857,7.88,1.0856,1.0745,0,freshness,5,1.0
1500,B,delta,45.01,28,31,1364.15,48.72,7.62,1.0825,1.0745,0,freshness,5,1.0
1500,B,delta,45.01,29,31,1409.16,48.592,7.38,1.0797,1.0745,0,freshness,5,1.0
1500,B,delta,45.01,30,31,1454.16,48.472,7.15,1.077,1.0745,0,freshness,5,1.0
1500,B,delta,45.01,31,31,1499.17,48.36,6.94,1.0745,1.0745,1,freshness,5,1.0
