# python=3.12.3
# platform=Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.39
# cpu=Intel(R) Core(TM) i5-14400F
# governor=WSL, governor uncontrolled
# cryptography=45.0.7
# blspy=2.0.3
# cbor2=5.8.0
# msgpack=1.2.1
# run=e3_loss
# config_hash=27465faa7faf3d7f
placement,p,b,s,n_frames,bytes_per_rec,V_meas,V_ci_lo,V_ci_hi,V_theory,goodput_mbps
B,0.02,1,68.94,1,172.936,0.9798,0.977,0.984,0.98,1.5987
D,0.02,1,68.94,1,172.936,0.9798,0.978,0.982,0.98,1.5987
B,0.02,2,68.94,1,120.936,0.97973,0.979,0.982,0.98,2.5131
D,0.02,2,68.94,1,120.936,0.98087,0.979,0.984,0.98,2.516
B,0.02,3,68.94,1,103.602,0.97907,0.978,0.98,0.98,3.1031
D,0.02,3,68.94,1,103.602,0.98027,0.978,0.984,0.98,3.1069
B,0.02,4,68.94,1,94.936,0.98033,0.978,0.982,0.98,3.5221
D,0.02,4,68.94,1,94.936,0.9786,0.975,0.982,0.98,3.5159
B,0.02,5,68.94,1,89.736,0.9814,0.979,0.984,0.98,3.8331
D,0.02,5,68.94,1,89.736,0.9786,0.976,0.982,0.98,3.8221
B,0.02,6,68.94,1,86.269,0.981,0.979,0.984,0.98,4.0677
D,0.02,6,68.94,1,86.269,0.9798,0.978,0.984,0.98,4.0628
B,0.02,8,68.94,1,81.936,0.9804,0.977,0.984,0.98,4.4047
D,0.02,8,68.94,1,81.936,0.98293,0.98,0.986,0.98,4.4161
B,0.02,10,68.94,1,79.336,0.98113,0.976,0.985,0.98,4.6405
D,0.02,10,68.94,1,79.336,0.979,0.976,0.982,0.98,4.6304
B,0.02,12,68.94,1,77.602,0.98047,0.979,0.983,0.98,4.8063
D,0.02,12,68.94,1,77.602,0.98087,0.979,0.984,0.98,4.8083
B,0.02,14,68.94,1,76.364,0.97893,0.976,0.982,0.98,4.9271
D,0.02,14,68.94,1,76.364,0.97967,0.976,0.982,0.98,4.9308
B,0.02,16,68.94,1,75.436,0.98087,0.979,0.984,0.98,5.0378
D,0.02,16,68.94,1,75.436,0.98167,0.98,0.984,0.98,5.0419
B,0.02,18,68.94,1,74.714,0.98033,0.98,0.983,0.98,5.1165
D,0.02,18,68.94,1,74.714,0.98187,0.98,0.984,0.98,5.1245
B,0.02,20,68.94,1,74.136,0.98293,0.982,0.984,0.98,5.1973
D,0.02,20,68.94,1,74.136,0.9806,0.976,0.984,0.98,5.1849
B,0.02,21,68.94,2,78.841,0.9786,0.976,0.98,0.98,4.6832
D,0.02,21,68.94,2,75.793,0.9612,0.958,0.964,0.9604,4.7572
B,0.02,22,68.94,2,78.39,0.97947,0.976,0.982,0.98,4.7232
D,0.02,22,68.94,2,75.481,0.9608,0.96,0.964,0.9604,4.8011
B,0.02,24,68.94,2,77.602,0.9774,0.976,0.981,0.98,4.7913
D,0.02,24,68.94,2,74.936,0.95853,0.955,0.962,0.9604,4.8571
B,0.02,28,68.94,2,76.364,0.9792,0.978,0.982,0.98,4.9284
D,0.02,28,68.94,2,74.079,0.95907,0.956,0.965,0.9604,4.9696
B,0.02,32,68.94,2,75.436,0.9788,0.978,0.982,0.98,5.0272
D,0.02,32,68.94,2,73.436,0.96427,0.963,0.967,0.9604,5.0827
B,0.02,36,68.94,2,74.714,0.9794,0.976,0.982,0.98,5.1116
D,0.02,36,68.94,2,72.936,0.95827,0.954,0.962,0.9604,5.1197
B,0.02,40,68.94,2,74.136,0.9784,0.974,0.981,0.98,5.1733
D,0.02,40,68.94,2,72.536,0.9606,0.958,0.964,0.9604,5.1886
B,0.05,1,68.94,1,172.936,0.94673,0.94,0.952,0.95,1.5447
D,0.05,1,68.94,1,172.936,0.95053,0.946,0.955,0.95,1.5509
B,0.05,2,68.94,1,120.936,0.95493,0.951,0.96,0.95,2.4495
D,0.05,2,68.94,1,120.936,0.94787,0.944,0.954,0.95,2.4313
B,0.05,3,68.94,1,103.602,0.952,0.95,0.956,0.95,3.0173
D,0.05,3,68.94,1,103.602,0.9522,0.95,0.953,0.95,3.018
B,0.05,4,68.94,1,94.936,0.94773,0.941,0.951,0.95,3.405
D,0.05,4,68.94,1,94.936,0.9526,0.948,0.956,0.95,3.4224
B,0.05,5,68.94,1,89.736,0.9488,0.946,0.951,0.95,3.7057
D,0.05,5,68.94,1,89.736,0.9492,0.943,0.956,0.95,3.7073
B,0.05,6,68.94,1,86.269,0.95013,0.946,0.955,0.95,3.9397
D,0.05,6,68.94,1,86.269,0.9546,0.949,0.962,0.95,3.9583
B,0.05,8,68.94,1,81.936,0.94727,0.946,0.952,0.95,4.2558
D,0.05,8,68.94,1,81.936,0.9484,0.945,0.952,0.95,4.2609
B,0.05,10,68.94,1,79.336,0.94807,0.946,0.953,0.95,4.4841
D,0.05,10,68.94,1,79.336,0.9464,0.944,0.95,0.95,4.4762
B,0.05,12,68.94,1,77.602,0.9536,0.95,0.957,0.95,4.6746
D,0.05,12,68.94,1,77.602,0.94827,0.944,0.952,0.95,4.6485
B,0.05,14,68.94,1,76.364,0.948,0.946,0.949,0.95,4.7714
D,0.05,14,68.94,1,76.364,0.95293,0.949,0.956,0.95,4.7962
B,0.05,16,68.94,1,75.436,0.95013,0.946,0.954,0.95,4.88
D,0.05,16,68.94,1,75.436,0.9476,0.944,0.952,0.95,4.8669
B,0.05,18,68.94,1,74.714,0.95067,0.948,0.954,0.95,4.9616
D,0.05,18,68.94,1,74.714,0.951,0.946,0.956,0.95,4.9634
B,0.05,20,68.94,1,74.136,0.9522,0.95,0.957,0.95,5.0348
D,0.05,20,68.94,1,74.136,0.95233,0.95,0.956,0.95,5.0355
B,0.05,21,68.94,2,78.841,0.94613,0.942,0.953,0.95,4.5278
D,0.05,21,68.94,2,75.793,0.89993,0.897,0.903,0.9025,4.454
B,0.05,22,68.94,2,78.39,0.949,0.948,0.952,0.95,4.5763
D,0.05,22,68.94,2,75.481,0.90727,0.901,0.913,0.9025,4.5336
B,0.05,24,68.94,2,77.602,0.94973,0.943,0.956,0.95,4.6557
D,0.05,24,68.94,2,74.936,0.905,0.896,0.912,0.9025,4.5859
B,0.05,28,68.94,2,76.364,0.95053,0.946,0.955,0.95,4.7842
D,0.05,28,68.94,2,74.079,0.90073,0.897,0.905,0.9025,4.6674
B,0.05,32,68.94,2,75.436,0.94773,0.943,0.952,0.95,4.8676
D,0.05,32,68.94,2,73.436,0.9054,0.896,0.911,0.9025,4.7724
B,0.05,36,68.94,2,74.714,0.9528,0.95,0.957,0.95,4.9728
D,0.05,36,68.94,2,72.936,0.90153,0.893,0.905,0.9025,4.8166
B,0.05,40,68.94,2,74.136,0.95047,0.945,0.956,0.95,5.0256
D,0.05,40,68.94,2,72.536,0.90207,0.894,0.908,0.9025,4.8725
B,0.1,1,68.94,1,172.936,0.90207,0.898,0.906,0.9,1.4718
D,0.1,1,68.94,1,172.936,0.89947,0.893,0.905,0.9,1.4676
B,0.1,2,68.94,1,120.936,0.9002,0.897,0.907,0.9,2.3091
D,0.1,2,68.94,1,120.936,0.9046,0.899,0.915,0.9,2.3203
B,0.1,3,68.94,1,103.602,0.89353,0.887,0.897,0.9,2.832
D,0.1,3,68.94,1,103.602,0.90367,0.898,0.908,0.9,2.8641
B,0.1,4,68.94,1,94.936,0.90087,0.895,0.907,0.9,3.2366
D,0.1,4,68.94,1,94.936,0.90087,0.896,0.904,0.9,3.2366
B,0.1,5,68.94,1,89.736,0.8994,0.894,0.909,0.9,3.5128
D,0.1,5,68.94,1,89.736,0.90353,0.899,0.91,0.9,3.5289
B,0.1,6,68.94,1,86.269,0.89707,0.89,0.906,0.9,3.7197
D,0.1,6,68.94,1,86.269,0.9036,0.896,0.912,0.9,3.7468
B,0.1,8,68.94,1,81.936,0.89613,0.888,0.904,0.9,4.0261
D,0.1,8,68.94,1,81.936,0.8988,0.892,0.901,0.9,4.0381
B,0.1,10,68.94,1,79.336,0.89993,0.893,0.905,0.9,4.2564
D,0.1,10,68.94,1,79.336,0.90113,0.895,0.904,0.9,4.2621
B,0.1,12,68.94,1,77.602,0.9004,0.892,0.909,0.9,4.4139
D,0.1,12,68.94,1,77.602,0.8998,0.891,0.905,0.9,4.4109
B,0.1,14,68.94,1,76.364,0.90147,0.895,0.908,0.9,4.5372
D,0.1,14,68.94,1,76.364,0.89827,0.894,0.901,0.9,4.5211
B,0.1,16,68.94,1,75.436,0.90167,0.896,0.907,0.9,4.631
D,0.1,16,68.94,1,75.436,0.90133,0.893,0.909,0.9,4.6293
B,0.1,18,68.94,1,74.714,0.8998,0.894,0.906,0.9,4.6962
D,0.1,18,68.94,1,74.714,0.89653,0.891,0.902,0.9,4.6791
B,0.1,20,68.94,1,74.136,0.89713,0.894,0.903,0.9,4.7436
D,0.1,20,68.94,1,74.136,0.90233,0.899,0.909,0.9,4.7711
B,0.1,21,68.94,2,78.841,0.89953,0.894,0.903,0.9,4.3048
D,0.1,21,68.94,2,75.793,0.8078,0.801,0.81,0.81,3.998
B,0.1,22,68.94,2,78.39,0.8982,0.893,0.903,0.9,4.3313
D,0.1,22,68.94,2,75.481,0.8104,0.803,0.818,0.81,4.0496
B,0.1,24,68.94,2,77.602,0.90067,0.894,0.906,0.9,4.4152
D,0.1,24,68.94,2,74.936,0.811,0.804,0.822,0.81,4.1095
B,0.1,28,68.94,2,76.364,0.9,0.895,0.906,0.9,4.5298
D,0.1,28,68.94,2,74.079,0.81067,0.804,0.815,0.81,4.2007
B,0.1,32,68.94,2,75.436,0.89727,0.892,0.899,0.9,4.6084
D,0.1,32,68.94,2,73.436,0.8072,0.797,0.81,0.81,4.2548
B,0.1,36,68.94,2,74.714,0.90073,0.894,0.905,0.9,4.701
D,0.1,36,68.94,2,72.936,0.80853,0.802,0.814,0.81,4.3198
B,0.1,40,68.94,2,74.136,0.90147,0.898,0.907,0.9,4.7665
D,0.1,40,68.94,2,72.536,0.81193,0.804,0.818,0.81,4.3856
