# python=3.12.3
# platform=Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.39
# cpu=Intel(R) Core(TM) i5-14400F
# governor=WSL, governor uncontrolled
# cryptography=45.0.7
# blspy=2.0.3
# cbor2=5.8.0
# msgpack=1.2.1
# run=e4_bytes
# config_hash=cfaaf02a8ca69b9c
encoding,scheme,b,own_selfbatch_bytes,relay_bytes
json,ed25519,2,247.518,279.518
json,ed25519,4,220.518,268.518
json,ed25519,8,207.018,263.018
json,ed25519,16,200.268,260.268
json,ed25519,32,196.893,258.893
json,ecdsa_p256,2,247.518,279.518
json,ecdsa_p256,4,220.518,268.518
json,ecdsa_p256,8,207.018,263.018
json,ecdsa_p256,16,200.268,260.268
json,ecdsa_p256,32,196.893,258.893
json,bls,2,263.518,263.518
json,bls,4,228.518,228.518
json,bls,8,211.018,211.018
json,bls,16,202.268,202.268
json,bls,32,197.893,197.893
cbor,ed25519,2,122.936,154.936
cbor,ed25519,4,95.936,143.936
cbor,ed25519,8,82.436,138.436
cbor,ed25519,16,75.686,135.686
cbor,ed25519,32,72.311,134.311
cbor,ecdsa_p256,2,122.936,154.936
cbor,ecdsa_p256,4,95.936,143.936
cbor,ecdsa_p256,8,82.436,138.436
cbor,ecdsa_p256,16,75.686,135.686
cbor,ecdsa_p256,32,72.311,134.311
cbor,bls,2,138.936,138.936
cbor,bls,4,103.936,103.936
cbor,bls,8,86.436,86.436
cbor,bls,16,77.686,77.686
cbor,bls,32,73.311,73.311
msgpack,ed25519,2,122.836,154.836
msgpack,ed25519,4,95.836,143.836
msgpack,ed25519,8,82.336,138.336
msgpack,ed25519,16,75.586,135.586
msgpack,ed25519,32,72.211,134.211
msgpack,ecdsa_p256,2,122.836,154.836
msgpack,ecdsa_p256,4,95.836,143.836
msgpack,ecdsa_p256,8,82.336,138.336
msgpack,ecdsa_p256,16,75.586,135.586
msgpack,ecdsa_p256,32,72.211,134.211
msgpack,bls,2,138.836,138.836
msgpack,bls,4,103.836,103.836
msgpack,bls,8,86.336,86.336
msgpack,bls,16,77.586,77.586
msgpack,bls,32,73.211,73.211
delta,ed25519,2,99.005,131.005
delta,ed25519,4,72.005,120.005
delta,ed25519,8,58.505,114.505
delta,ed25519,16,51.755,111.755
delta,ed25519,32,48.38,110.38
delta,ecdsa_p256,2,99.005,131.005
delta,ecdsa_p256,4,72.005,120.005
delta,ecdsa_p256,8,58.505,114.505
delta,ecdsa_p256,16,51.755,111.755
delta,ecdsa_p256,32,48.38,110.38
delta,bls,2,115.005,115.005
delta,bls,4,80.005,80.005
delta,bls,8,62.505,62.505
delta,bls,16,53.755,53.755
delta,bls,32,49.38,49.38
