# python=3.12.3
# platform=Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.39
# cpu=Intel(R) Core(TM) i5-14400F
# governor=WSL, governor uncontrolled
# cryptography=45.0.7
# blspy=2.0.3
# cbor2=5.8.0
# msgpack=1.2.1
# run=e4_crossover
# config_hash=5e8d7eb6ae0eba70
# ed25519_verify_speedup_vs_bls=33.186
# plausible_kappa_max=0.5
# R_bps=6000000
scheme_pair,rho,b,lambda,delta_bytes,radio_saving_us,extra_cpu_us_med,extra_cpu_us_lo,extra_cpu_us_hi,kappa_star_med,kappa_star_lo,kappa_star_hi,ed_verify_ok,bls_verify_ok,winner_plausible
ed25519_vs_bls,0.0,2,50,-16.0,-21.3333,4176.1264,4176.0112,4176.32,inf,inf,inf,True,True,ed25519
ed25519_vs_bls,0.0,2,200,-16.0,-21.3333,4176.1264,4176.0112,4176.32,inf,inf,inf,True,True,ed25519
ed25519_vs_bls,0.0,2,800,-16.0,-21.3333,4176.1264,4176.0112,4176.32,inf,inf,inf,True,False,ed25519
ed25519_vs_bls,0.0,2,2000,-16.0,-21.3333,4176.1264,4176.0112,4176.32,inf,inf,inf,True,False,ed25519
ed25519_vs_bls,0.25,2,50,-8.0,-10.6667,4383.1051,4382.9715,4383.3136,inf,inf,inf,True,True,ed25519
ed25519_vs_bls,0.25,2,200,-8.0,-10.6667,4383.1051,4382.9715,4383.3136,inf,inf,inf,True,True,ed25519
ed25519_vs_bls,0.25,2,800,-8.0,-10.6667,4383.1051,4382.9715,4383.3136,inf,inf,inf,True,False,ed25519
ed25519_vs_bls,0.25,2,2000,-8.0,-10.6667,4383.1051,4382.9715,4383.3136,inf,inf,inf,True,False,ed25519
ed25519_vs_bls,0.5,2,50,0.0,0.0,4590.0837,4589.9318,4590.3071,inf,inf,inf,True,True,ed25519
ed25519_vs_bls,0.5,2,200,0.0,0.0,4590.0837,4589.9318,4590.3071,inf,inf,inf,True,True,ed25519
ed25519_vs_bls,0.5,2,800,0.0,0.0,4590.0837,4589.9318,4590.3071,inf,inf,inf,True,False,ed25519
ed25519_vs_bls,0.5,2,2000,0.0,0.0,4590.0837,4589.9318,4590.3071,inf,inf,inf,True,False,ed25519
ed25519_vs_bls,1.0,2,50,16.0,21.3333,5004.0411,5003.8525,5004.2943,234.5644,234.5556,234.5763,True,True,ed25519
ed25519_vs_bls,1.0,2,200,16.0,21.3333,5004.0411,5003.8525,5004.2943,234.5644,234.5556,234.5763,True,False,ed25519
ed25519_vs_bls,1.0,2,800,16.0,21.3333,5004.0411,5003.8525,5004.2943,234.5644,234.5556,234.5763,True,False,ed25519
ed25519_vs_bls,1.0,2,2000,16.0,21.3333,5004.0411,5003.8525,5004.2943,234.5644,234.5556,234.5763,True,False,ed25519
