# python=3.12.3
# platform=Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.39
# cpu=Intel(R) Core(TM) i5-14400F
# governor=WSL, governor uncontrolled
# cryptography=45.0.7
# blspy=2.0.3
# cbor2=5.8.0
# msgpack=1.2.1
# run=framesizes
# mtu=1500
# h_f=44
# config_hash=b0366e7d9b45f566
placement,encoding,b,s_e,auth_bytes,frame_bytes,bytes_per_rec,amplification,feasible
A,json,1,191.09,64,299.09,299.09,1.5652,1
A,json,2,191.09,128,554.17,277.09,1.4501,1
A,json,4,191.09,256,1064.34,266.09,1.3925,1
A,json,8,191.09,512,2084.68,260.59,1.3637,0
A,json,16,191.09,1024,4125.36,257.84,1.3493,0
A,json,32,191.09,2048,8206.73,256.46,1.3421,0
A,cbor,1,66.25,64,174.25,174.25,2.6301,1
A,cbor,2,66.25,128,304.5,152.25,2.2981,1
A,cbor,4,66.25,256,565.01,141.25,2.132,1
A,cbor,8,66.25,512,1086.02,135.75,2.049,1
A,cbor,16,66.25,1024,2128.04,133.0,2.0075,0
A,cbor,32,66.25,2048,4212.07,131.63,1.9868,0
A,msgpack,1,65.16,64,173.16,173.16,2.6575,1
A,msgpack,2,65.16,128,302.32,151.16,2.3198,1
A,msgpack,4,65.16,256,560.64,140.16,2.151,1
A,msgpack,8,65.16,512,1077.28,134.66,2.0666,1
A,msgpack,16,65.16,1024,2110.56,131.91,2.0244,0
A,msgpack,32,65.16,2048,4177.12,130.54,2.0033,0
A,delta,1,45.0,64,153.0,153.0,3.4001,1
A,delta,2,45.0,128,262.0,131.0,2.9112,1
A,delta,4,45.0,256,479.99,120.0,2.6667,1
A,delta,8,45.0,512,915.99,114.5,2.5445,1
A,delta,16,45.0,1024,1787.97,111.75,2.4834,0
A,delta,32,45.0,2048,3531.94,110.37,2.4528,0
B,json,1,191.09,64,299.09,299.09,1.5652,1
B,json,2,191.09,64,490.17,245.09,1.2826,1
B,json,4,191.09,64,872.34,218.09,1.1413,1
B,json,8,191.09,64,1636.68,204.59,1.0706,0
B,json,16,191.09,64,3165.36,197.84,1.0353,0
B,json,32,191.09,64,6222.73,194.46,1.0177,0
B,cbor,1,66.25,64,174.25,174.25,2.6301,1
B,cbor,2,66.25,64,240.5,120.25,1.8151,1
B,cbor,4,66.25,64,373.01,93.25,1.4075,1
B,cbor,8,66.25,64,638.02,79.75,1.2038,1
B,cbor,16,66.25,64,1168.04,73.0,1.1019,1
B,cbor,32,66.25,64,2228.07,69.63,1.0509,0
B,msgpack,1,65.16,64,173.16,173.16,2.6575,1
B,msgpack,2,65.16,64,238.32,119.16,1.8287,1
B,msgpack,4,65.16,64,368.64,92.16,1.4144,1
B,msgpack,8,65.16,64,629.28,78.66,1.2072,1
B,msgpack,16,65.16,64,1150.56,71.91,1.1036,1
B,msgpack,32,65.16,64,2193.12,68.54,1.0518,0
B,delta,1,45.0,64,153.0,153.0,3.4001,1
B,delta,2,45.0,64,198.0,99.0,2.2,1
B,delta,4,45.0,64,287.99,72.0,1.6,1
B,delta,8,45.0,64,467.99,58.5,1.3,1
B,delta,16,45.0,64,827.97,51.75,1.15,1
B,delta,32,45.0,64,1547.94,48.37,1.075,0
C,json,1,191.09,98,333.09,333.09,1.7431,1
C,json,2,191.09,100,526.17,263.09,1.3768,1
C,json,4,191.09,104,912.34,228.09,1.1936,1
C,json,8,191.09,112,1684.68,210.59,1.102,0
C,json,16,191.09,128,3229.36,201.84,1.0563,0
C,json,32,191.09,160,6318.73,197.46,1.0334,0
C,cbor,1,66.25,98,208.25,208.25,3.1433,1
C,cbor,2,66.25,100,276.5,138.25,2.0868,1
C,cbor,4,66.25,104,413.01,103.25,1.5585,1
C,cbor,8,66.25,112,686.02,85.75,1.2943,1
C,cbor,16,66.25,128,1232.04,77.0,1.1623,1
C,cbor,32,66.25,160,2324.07,72.63,1.0962,0
C,msgpack,1,65.16,98,207.16,207.16,3.1792,1
C,msgpack,2,65.16,100,274.32,137.16,2.105,1
C,msgpack,4,65.16,104,408.64,102.16,1.5678,1
C,msgpack,8,65.16,112,677.28,84.66,1.2993,1
C,msgpack,16,65.16,128,1214.56,75.91,1.165,1
C,msgpack,32,65.16,160,2289.12,71.54,1.0978,0
C,delta,1,45.0,98,187.0,187.0,4.1557,1
C,delta,2,45.0,100,234.0,117.0,2.6001,1
C,delta,4,45.0,104,327.99,82.0,1.8223,1
C,delta,8,45.0,112,515.99,64.5,1.4334,1
C,delta,16,45.0,128,891.97,55.75,1.2389,1
C,delta,32,45.0,160,1643.94,51.37,1.1417,0
D,json,1,191.09,70,305.09,305.09,1.5966,1
D,json,2,191.09,70,496.17,248.09,1.2983,1
D,json,4,191.09,70,878.34,219.59,1.1491,1
D,json,8,191.09,70,1642.68,205.34,1.0746,0
D,json,16,191.09,70,3171.36,198.21,1.0373,0
D,json,32,191.09,70,6228.73,194.65,1.0186,0
D,cbor,1,66.25,70,180.25,180.25,2.7207,1
D,cbor,2,66.25,70,246.5,123.25,1.8603,1
D,cbor,4,66.25,70,379.01,94.75,1.4302,1
D,cbor,8,66.25,70,644.02,80.5,1.2151,1
D,cbor,16,66.25,70,1174.04,73.38,1.1075,1
D,cbor,32,66.25,70,2234.07,69.81,1.0538,0
D,msgpack,1,65.16,70,179.16,179.16,2.7495,1
D,msgpack,2,65.16,70,244.32,122.16,1.8748,1
D,msgpack,4,65.16,70,374.64,93.66,1.4374,1
D,msgpack,8,65.16,70,635.28,79.41,1.2187,1
D,msgpack,16,65.16,70,1156.56,72.29,1.1093,1
D,msgpack,32,65.16,70,2199.12,68.72,1.0547,0
D,delta,1,45.0,70,159.0,159.0,3.5334,1
D,delta,2,45.0,70,204.0,102.0,2.2667,1
D,delta,4,45.0,70,293.99,73.5,1.6334,1
D,delta,8,45.0,70,473.99,59.25,1.3167,1
D,delta,16,45.0,70,833.97,52.12,1.1583,1
D,delta,32,45.0,70,1553.94,48.56,1.0792,0
