# python=3.12.3
# platform=Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.39
# cpu=Intel(R) Core(TM) i5-14400F
# governor=WSL, governor uncontrolled
# cryptography=45.0.7
# blspy=2.0.3
# cbor2=5.8.0
# msgpack=1.2.1
# run=lora_capacity
# n_max_mean_criterion=3
# n_max_ci95=[2,3]
# n_max_is_knife_edge=1
# n_max_strict_criterion=1
# config_hash=6fc5de40fd59f5f4
n_devices,data_rate,batch,payload_bytes,app_period_s,sent_mean,delivered_frac,implied_p_loss,delivered_min,delivered_max,delivered_stdev,seeds_failing_v,seed_pass_frac,meets_v,meets_v_strict,seeds,lambda_rec_per_s,aggregate_rec_per_s
1,5,6,218,36.378,97.5,1.0,0.0,1.0,1.0,0.0,0,1.0,1,1,30,0.16494,0.1649
2,5,6,218,36.378,195.2,0.97166,0.02834,0.84536,1.0,0.05043,8,0.7333,1,0,30,0.16494,0.3299
3,5,6,218,36.378,292.9,0.95981,0.04019,0.76792,1.0,0.06338,9,0.7,1,0,30,0.16494,0.4948
5,5,6,218,36.378,487.9,0.9167,0.0833,0.69592,1.0,0.07467,17,0.4333,0,0,30,0.16494,0.8247
8,5,6,218,36.378,781.2,0.87103,0.12897,0.64879,0.97436,0.06948,26,0.1333,0,0,30,0.16494,1.3195
10,5,6,218,36.378,976.1,0.82919,0.17081,0.65097,0.92221,0.06438,30,0.0,0,0,30,0.16494,1.6494
15,5,6,218,36.378,1463.9,0.74978,0.25022,0.52897,0.86612,0.05722,30,0.0,0,0,30,0.16494,2.474
20,5,6,218,36.378,1952.0,0.69127,0.30873,0.57121,0.76371,0.04857,30,0.0,0,0,30,0.16494,3.2987
30,5,6,218,36.378,2928.1,0.57028,0.42972,0.44167,0.6423,0.04027,30,0.0,0,0,30,0.16494,4.9481
50,5,6,218,36.378,4881.6,0.37547,0.62453,0.32828,0.4255,0.02016,30,0.0,0,0,30,0.16494,8.2468
100,5,6,218,36.378,9763.1,0.14079,0.85921,0.129,0.15113,0.00473,30,0.0,0,0,30,0.16494,16.4937
