# python=3.12.3
# platform=Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.39
# cpu=Intel(R) Core(TM) i5-14400F
# governor=WSL, governor uncontrolled
# cryptography=45.0.7
# blspy=2.0.3
# cbor2=5.8.0
# msgpack=1.2.1
# run=lora_capacity
# n_max_mean_criterion=8
# n_max_ci95=[5,8]
# n_max_is_knife_edge=1
# n_max_strict_criterion=1
# config_hash=ed8efbb390b8f016
n_devices,data_rate,batch,payload_bytes,app_period_s,sent_mean,delivered_frac,implied_p_loss,delivered_min,delivered_max,delivered_stdev,seeds_failing_v,seed_pass_frac,meets_v,meets_v_strict,seeds,lambda_rec_per_s,aggregate_rec_per_s
1,5,6,218,36.378,97.5,1.0,0.0,1.0,1.0,0.0,0,1.0,1,1,30,0.16494,0.1649
2,5,6,218,36.378,195.2,0.98805,0.01195,0.93299,1.0,0.02149,4,0.8667,1,0,30,0.16494,0.3299
3,5,6,218,36.378,292.9,0.9877,0.0123,0.90444,1.0,0.02263,3,0.9,1,0,30,0.16494,0.4948
5,5,6,218,36.378,487.9,0.96898,0.03102,0.87959,1.0,0.02962,4,0.8667,1,0,30,0.16494,0.8247
8,5,6,218,36.378,781.2,0.95264,0.04736,0.87356,0.98721,0.02658,12,0.6,1,0,30,0.16494,1.3195
10,5,6,218,36.378,976.1,0.93977,0.06023,0.86313,0.98158,0.02512,20,0.3333,0,0,30,0.16494,1.6494
15,5,6,218,36.378,1463.9,0.90248,0.09752,0.79277,0.9515,0.02847,28,0.0667,0,0,30,0.16494,2.474
20,5,6,218,36.378,1952.0,0.88259,0.11741,0.80943,0.92158,0.02573,30,0.0,0,0,30,0.16494,3.2987
30,5,6,218,36.378,2928.1,0.82529,0.17471,0.75676,0.86232,0.01914,30,0.0,0,0,30,0.16494,4.9481
50,5,6,218,36.378,4881.6,0.71339,0.28661,0.67172,0.7436,0.01939,30,0.0,0,0,30,0.16494,8.2468
100,5,6,218,36.378,9763.1,0.5071,0.4929,0.47619,0.53525,0.01476,30,0.0,0,0,30,0.16494,16.4937
