# python=3.12.3
# platform=Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.39
# cpu=Intel(R) Core(TM) i5-14400F
# governor=WSL, governor uncontrolled
# cryptography=45.0.7
# blspy=2.0.3
# cbor2=5.8.0
# msgpack=1.2.1
# run=lora_capacity
# n_max_mean_criterion=3
# n_max_ci95=[2,5]
# n_max_is_knife_edge=1
# n_max_strict_criterion=1
# config_hash=1a7f6ea8e5ce7066
n_devices,data_rate,batch,payload_bytes,app_period_s,sent_mean,delivered_frac,implied_p_loss,delivered_min,delivered_max,delivered_stdev,seeds_failing_v,seed_pass_frac,meets_v,meets_v_strict,seeds,lambda_rec_per_s,aggregate_rec_per_s
1,5,6,218,36.378,97.5,1.0,0.0,1.0,1.0,0.0,0,1.0,1,1,30,0.16494,0.1649
2,5,6,218,36.378,195.2,0.97935,0.02065,0.89175,1.0,0.03648,7,0.7667,1,0,30,0.16494,0.3299
3,5,6,218,36.378,292.9,0.96766,0.03234,0.81229,1.0,0.05134,8,0.7333,1,0,30,0.16494,0.4948
5,5,6,218,36.378,487.9,0.93262,0.06738,0.75102,1.0,0.06034,16,0.4667,0,0,30,0.16494,0.8247
8,5,6,218,36.378,781.2,0.89757,0.10243,0.7318,0.98077,0.05444,25,0.1667,0,0,30,0.16494,1.3195
10,5,6,218,36.378,976.1,0.86228,0.13772,0.71136,0.93654,0.05319,30,0.0,0,0,30,0.16494,1.6494
15,5,6,218,36.378,1463.9,0.80081,0.19919,0.60464,0.89618,0.04998,30,0.0,0,0,30,0.16494,2.474
20,5,6,218,36.378,1952.0,0.75327,0.24673,0.65266,0.82009,0.04147,30,0.0,0,0,30,0.16494,3.2987
30,5,6,218,36.378,2928.1,0.65263,0.34737,0.53301,0.71473,0.03557,30,0.0,0,0,30,0.16494,4.9481
50,5,6,218,36.378,4881.6,0.48561,0.51439,0.4349,0.53003,0.02043,30,0.0,0,0,30,0.16494,8.2468
