# python=3.12.3
# platform=Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.39
# cpu=Intel(R) Core(TM) i5-14400F
# governor=WSL, governor uncontrolled
# cryptography=45.0.7
# blspy=2.0.3
# cbor2=5.8.0
# msgpack=1.2.1
# run=lora_capacity
# n_max_mean_criterion=3
# n_max_ci95=[2,3]
# n_max_is_knife_edge=1
# n_max_strict_criterion=1
# config_hash=efd2cdd6a0b5bc2e
n_devices,data_rate,batch,payload_bytes,app_period_s,sent_mean,delivered_frac,implied_p_loss,delivered_min,delivered_max,delivered_stdev,seeds_failing_v,seed_pass_frac,meets_v,meets_v_strict,seeds,lambda_rec_per_s,aggregate_rec_per_s
1,5,6,218,36.378,97.5,1.0,0.0,1.0,1.0,0.0,0,1.0,1,1,30,0.16494,0.1649
2,5,6,218,36.378,195.2,0.97132,0.02868,0.84536,1.0,0.05088,8,0.7333,1,0,30,0.16494,0.3299
3,5,6,218,36.378,292.9,0.95992,0.04008,0.76792,1.0,0.06335,9,0.7,1,0,30,0.16494,0.4948
5,5,6,218,36.378,487.9,0.9167,0.0833,0.69592,1.0,0.07467,17,0.4333,0,0,30,0.16494,0.8247
8,5,6,218,36.378,781.2,0.8709,0.1291,0.64879,0.97436,0.06941,26,0.1333,0,0,30,0.16494,1.3195
10,5,6,218,36.378,976.1,0.82906,0.17094,0.65097,0.92221,0.06442,30,0.0,0,0,30,0.16494,1.6494
15,5,6,218,36.378,1463.9,0.74974,0.25026,0.52897,0.86612,0.05726,30,0.0,0,0,30,0.16494,2.474
20,5,6,218,36.378,1952.0,0.69079,0.30921,0.57018,0.76371,0.04879,30,0.0,0,0,30,0.16494,3.2987
30,5,6,218,36.378,2928.1,0.56994,0.43006,0.44167,0.64195,0.04038,30,0.0,0,0,30,0.16494,4.9481
50,5,6,218,36.378,4881.6,0.37533,0.62467,0.32807,0.4255,0.02014,30,0.0,0,0,30,0.16494,8.2468
