# python=3.12.3
# platform=Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.39
# cpu=Intel(R) Core(TM) i5-14400F
# governor=WSL, governor uncontrolled
# cryptography=45.0.7
# blspy=2.0.3
# cbor2=5.8.0
# msgpack=1.2.1
# run=lora_codesign
# config_hash=633a009799f06ac4
on_pareto,dr,sf,bw_khz,sensitivity_dbm,relative_range,encoding,scheme,placement,batch,chain_mode,frame_bytes,bytes_per_rec,toa_ms,duty_interval_s,lambda_rec_per_s,freshness_s,airtime_per_rec_ms,V,adopted
1,4,8,125,-126.0,1.9953,delta,ed25519,B,7,per_frame,231.0,32.998,676.35,67.64,0.1035,67.64,96.62,0.95,1
1,4,8,125,-126.0,1.9953,delta,ed25519,D,7,per_frame,231.0,32.998,676.35,67.64,0.1035,67.64,96.62,0.95,1
1,4,8,125,-126.0,1.9953,delta,ecdsa_p256,B,7,per_frame,231.0,32.998,676.35,67.64,0.1035,67.64,96.62,0.95,1
1,4,8,125,-126.0,1.9953,delta,ecdsa_p256,D,7,per_frame,231.0,32.998,676.35,67.64,0.1035,67.64,96.62,0.95,1
1,4,8,125,-126.0,1.9953,delta,ed25519,B,6,per_frame,218.0,36.332,645.63,64.56,0.09293,64.56,107.61,0.95,1
1,4,8,125,-126.0,1.9953,delta,ed25519,D,6,per_frame,218.0,36.332,645.63,64.56,0.09293,64.56,107.61,0.95,1
1,4,8,125,-126.0,1.9953,delta,ecdsa_p256,B,6,per_frame,218.0,36.332,645.63,64.56,0.09293,64.56,107.61,0.95,1
1,4,8,125,-126.0,1.9953,delta,ecdsa_p256,D,6,per_frame,218.0,36.332,645.63,64.56,0.09293,64.56,107.61,0.95,1
1,4,8,125,-126.0,1.9953,delta,ed25519,B,5,per_frame,205.0,40.998,604.67,60.47,0.08269,60.47,120.93,0.95,1
1,4,8,125,-126.0,1.9953,delta,ed25519,D,5,per_frame,205.0,40.998,604.67,60.47,0.08269,60.47,120.93,0.95,1
1,4,8,125,-126.0,1.9953,delta,ecdsa_p256,B,5,per_frame,205.0,40.998,604.67,60.47,0.08269,60.47,120.93,0.95,1
1,4,8,125,-126.0,1.9953,delta,ecdsa_p256,D,5,per_frame,205.0,40.998,604.67,60.47,0.08269,60.47,120.93,0.95,1
1,4,8,125,-126.0,1.9953,delta,ed25519,B,4,per_frame,192.0,47.998,573.95,57.4,0.06969,57.4,143.49,0.95,1
