# python=3.12.3
# platform=Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.39
# cpu=Intel(R) Core(TM) i5-14400F
# governor=WSL, governor uncontrolled
# cryptography=45.0.7
# blspy=2.0.3
# cbor2=5.8.0
# msgpack=1.2.1
# run=lora_eu868
# config_hash=633a009799f06ac4
dr,sf,bw_khz,max_app_payload,encoding,chain_mode,b,s_record,frame_bytes,toa_ms,duty_interval_s,lambda_rec_per_s,freshness_s,auth_overhead_per_rec,bytes_per_rec,adopted
4,8,125,242,cbor,per_record,1,66.25,174.3,532.99,53.3,0.01876,53.3,108.0,174.252,0
4,8,125,242,cbor,per_record,2,66.25,240.5,696.83,69.68,0.0287,69.68,54.0,120.252,0
4,8,125,242,cbor,per_frame,1,34.25,174.3,532.99,53.3,0.01876,53.3,140.0,174.252,1
4,8,125,242,cbor,per_frame,2,34.25,208.5,614.91,61.49,0.03252,61.49,70.0,104.252,1
4,8,125,242,msgpack,per_record,1,65.16,173.2,532.99,53.3,0.01876,53.3,108.0,173.16,0
4,8,125,242,msgpack,per_record,2,65.16,238.3,696.83,69.68,0.0287,69.68,54.0,119.16,0
4,8,125,242,msgpack,per_frame,1,33.16,173.2,532.99,53.3,0.01876,53.3,140.0,173.16,1
4,8,125,242,msgpack,per_frame,2,33.16,206.3,614.91,61.49,0.03252,61.49,70.0,103.16,1
4,8,125,242,msgpack,per_frame,3,33.16,239.5,696.83,69.68,0.04305,69.68,46.667,79.827,1
4,8,125,242,delta,per_record,1,45.0,153.0,471.55,47.16,0.02121,47.16,108.0,152.998,0
4,8,125,242,delta,per_record,2,45.0,198.0,594.43,59.44,0.03365,59.44,54.0,98.998,0
4,8,125,242,delta,per_frame,1,13.0,153.0,471.55,47.16,0.02121,47.16,140.0,152.998,1
4,8,125,242,delta,per_frame,2,13.0,166.0,512.51,51.25,0.03902,51.25,70.0,82.998,1
4,8,125,242,delta,per_frame,3,13.0,179.0,543.23,54.32,0.05523,54.32,46.667,59.665,1
4,8,125,242,delta,per_frame,4,13.0,192.0,573.95,57.4,0.06969,57.4,35.0,47.998,1
4,8,125,242,delta,per_frame,5,13.0,205.0,604.67,60.47,0.08269,60.47,28.0,40.998,1
4,8,125,242,delta,per_frame,6,13.0,218.0,645.63,64.56,0.09293,64.56,23.333,36.332,1
4,8,125,242,delta,per_frame,7,13.0,231.0,676.35,67.64,0.1035,67.64,20.0,32.998,1
5,7,125,242,cbor,per_record,1,66.25,174.3,302.34,30.23,0.03308,30.23,108.0,174.252,0
5,7,125,242,cbor,per_record,2,66.25,240.5,399.62,39.96,0.05005,39.96,54.0,120.252,0
5,7,125,242,cbor,per_frame,1,34.25,174.3,302.34,30.23,0.03308,30.23,140.0,174.252,1
5,7,125,242,cbor,per_frame,2,34.25,208.5,348.42,34.84,0.0574,34.84,70.0,104.252,1
5,7,125,242,msgpack,per_record,1,65.16,173.2,297.22,29.72,0.03365,29.72,108.0,173.16,0
5,7,125,242,msgpack,per_record,2,65.16,238.3,394.5,39.45,0.0507,39.45,54.0,119.16,0
5,7,125,242,msgpack,per_frame,1,33.16,173.2,297.22,29.72,0.03365,29.72,140.0,173.16,1
5,7,125,242,msgpack,per_frame,2,33.16,206.3,348.42,34.84,0.0574,34.84,70.0,103.16,1
5,7,125,242,msgpack,per_frame,3,33.16,239.5,394.5,39.45,0.07605,39.45,46.667,79.827,1
5,7,125,242,delta,per_record,1,45.0,153.0,266.5,26.65,0.03752,26.65,108.0,152.998,0
5,7,125,242,delta,per_record,2,45.0,198.0,333.06,33.31,0.06005,33.31,54.0,98.998,0
5,7,125,242,delta,per_frame,1,13.0,153.0,266.5,26.65,0.03752,26.65,140.0,152.998,1
5,7,125,242,delta,per_frame,2,13.0,166.0,286.98,28.7,0.06969,28.7,70.0,82.998,1
5,7,125,242,delta,per_frame,3,13.0,179.0,307.46,30.75,0.09757,30.75,46.667,59.665,1
5,7,125,242,delta,per_frame,4,13.0,192.0,327.94,32.79,0.12198,32.79,35.0,47.998,1
5,7,125,242,delta,per_frame,5,13.0,205.0,343.3,34.33,0.14565,34.33,28.0,40.998,1
5,7,125,242,delta,per_frame,6,13.0,218.0,363.78,36.38,0.16494,36.38,23.333,36.332,1
5,7,125,242,delta,per_frame,7,13.0,231.0,384.26,38.43,0.18217,38.43,20.0,32.998,1
6,7,250,242,cbor,per_record,1,66.25,174.3,151.17,15.12,0.06615,15.12,108.0,174.252,0
6,7,250,242,cbor,per_record,2,66.25,240.5,199.81,19.98,0.1001,19.98,54.0,120.252,0
6,7,250,242,cbor,per_frame,1,34.25,174.3,151.17,15.12,0.06615,15.12,140.0,174.252,1
6,7,250,242,cbor,per_frame,2,34.25,208.5,174.21,17.42,0.11481,17.42,70.0,104.252,1
6,7,250,242,msgpack,per_record,1,65.16,173.2,148.61,14.86,0.06729,14.86,108.0,173.16,0
6,7,250,242,msgpack,per_record,2,65.16,238.3,197.25,19.72,0.1014,19.72,54.0,119.16,0
6,7,250,242,msgpack,per_frame,1,33.16,173.2,148.61,14.86,0.06729,14.86,140.0,173.16,1
6,7,250,242,msgpack,per_frame,2,33.16,206.3,174.21,17.42,0.11481,17.42,70.0,103.16,1
6,7,250,242,msgpack,per_frame,3,33.16,239.5,197.25,19.72,0.15209,19.72,46.667,79.827,1
6,7,250,242,delta,per_record,1,45.0,153.0,133.25,13.32,0.07505,13.32,108.0,152.998,0
6,7,250,242,delta,per_record,2,45.0,198.0,166.53,16.65,0.1201,16.65,54.0,98.998,0
6,7,250,242,delta,per_frame,1,13.0,153.0,133.25,13.32,0.07505,13.32,140.0,152.998,1
6,7,250,242,delta,per_frame,2,13.0,166.0,143.49,14.35,0.13938,14.35,70.0,82.998,1
6,7,250,242,delta,per_frame,3,13.0,179.0,153.73,15.37,0.19515,15.37,46.667,59.665,1
6,7,250,242,delta,per_frame,4,13.0,192.0,163.97,16.4,0.24395,16.4,35.0,47.998,1
6,7,250,242,delta,per_frame,5,13.0,205.0,171.65,17.16,0.29129,17.16,28.0,40.998,1
6,7,250,242,delta,per_frame,6,13.0,218.0,181.89,18.19,0.32987,18.19,23.333,36.332,1
6,7,250,242,delta,per_frame,7,13.0,231.0,192.13,19.21,0.36434,19.21,20.0,32.998,1
