# run=lora_phase_artifact
# purpose=Direction C step 1 — does the standard ns-3 LoRaWAN traffic model (equal period,
#         random phase) distort results vs randomised transmission timing?
# design=N in {5,20,100} x tx_jitter in {0,1.0} s x 30 seeds; DR5, 218 B, appPeriod 36.378 s,
#        3600 s, aloha preset, ideal channel, radius 1000 m
# stats=Levene (variance, robust to the bimodality) + Mann-Whitney U (location, non-parametric)
# expectations_preregistered=scratchpad/C1_EXPECTATIONS.md
n_devices,tx_jitter_s,seed,delivered_frac
5,0,1,1
5,0,2,1
5,0,3,1
5,0,4,1
5,0,5,1
5,0,6,0.838384
5,0,7,1
5,0,8,0.59919
5,0,9,1
5,0,10,1
5,0,11,1
5,0,12,1
5,0,13,1
5,0,14,1
5,0,15,1
5,0,16,0.2
5,0,17,0.438384
5,0,18,1
5,0,19,0.6
5,0,20,0.838384
5,0,21,1
5,0,22,1
5,0,23,0.6
5,0,24,1
5,0,25,1
5,0,26,0.6
5,0,27,1
5,0,28,1
5,0,29,1
5,0,30,1
5,1.0,1,0.946721
5,1.0,2,0.813142
5,1.0,3,0.930328
5,1.0,4,1
5,1.0,5,0.97546
5,1.0,6,0.880903
5,1.0,7,0.849485
5,1.0,8,0.917695
5,1.0,9,1
5,1.0,10,0.98364
5,1.0,11,0.930328
5,1.0,12,0.987705
5,1.0,13,0.695918
5,1.0,14,0.784394
5,1.0,15,0.950617
5,1.0,16,0.901437
5,1.0,17,0.96319
5,1.0,18,0.957055
5,1.0,19,0.877301
5,1.0,20,0.911704
5,1.0,21,0.901639
5,1.0,22,0.991803
5,1.0,23,0.860656
5,1.0,24,0.860656
5,1.0,25,0.981633
5,1.0,26,0.97546
5,1.0,27,0.918033
5,1.0,28,0.790984
5,1.0,29,0.983607
5,1.0,30,0.979466
20,0,1,0.519192
20,0,2,0.719192
20,0,3,0.5
20,0,4,0.430015
20,0,5,0.717172
20,0,6,0.819192
20,0,7,0.917635
20,0,8,0.519192
20,0,9,0.577564
20,0,10,0.509348
20,0,11,0.509596
20,0,12,0.419192
20,0,13,0.7
20,0,14,0.717677
20,0,15,0.799899
20,0,16,0.517677
20,0,17,0.519192
20,0,18,0.659424
20,0,19,0.467677
20,0,20,0.71905
20,0,21,0.578362
20,0,22,0.577059
20,0,23,0.596261
20,0,24,0.6286
20,0,25,0.717677
20,0,26,0.551392
20,0,27,0.767677
20,0,28,0.736736
20,0,29,0.678788
20,0,30,0.659424
20,1.0,1,0.571209
20,1.0,2,0.706455
20,1.0,3,0.744115
20,1.0,4,0.763711
20,1.0,5,0.722564
20,1.0,6,0.700513
20,1.0,7,0.740646
20,1.0,8,0.710189
20,1.0,9,0.704708
20,1.0,10,0.740532
20,1.0,11,0.657962
20,1.0,12,0.74552
20,1.0,13,0.62577
20,1.0,14,0.702717
20,1.0,15,0.675026
20,1.0,16,0.742945
20,1.0,17,0.62212
20,1.0,18,0.607161
20,1.0,19,0.731183
20,1.0,20,0.637436
20,1.0,21,0.715239
20,1.0,22,0.693491
20,1.0,23,0.66445
20,1.0,24,0.673323
20,1.0,25,0.741158
20,1.0,26,0.703533
20,1.0,27,0.617195
20,1.0,28,0.72137
20,1.0,29,0.692663
20,1.0,30,0.661538
100,0,1,0.152602
100,0,2,0.159038
100,0,3,0.120061
100,0,4,0.103971
100,0,5,0.127399
100,0,6,0.100525
100,0,7,0.110224
100,0,8,0.150434
100,0,9,0.128234
100,0,10,0.165033
100,0,11,0.120566
100,0,12,0.133138
100,0,13,0.100434
100,0,14,0.125909
100,0,15,0.091249
100,0,16,0.158953
100,0,17,0.0804284
100,0,18,0.089255
100,0,19,0.12116
100,0,20,0.131494
100,0,21,0.0840914
100,0,22,0.0823648
100,0,23,0.127412
100,0,24,0.0684848
100,0,25,0.17118
100,0,26,0.132653
100,0,27,0.173641
100,0,28,0.0532538
100,0,29,0.0823565
100,0,30,0.107955
100,1.0,1,0.138044
100,1.0,2,0.140234
100,1.0,3,0.133695
100,1.0,4,0.134003
100,1.0,5,0.137709
100,1.0,6,0.139494
100,1.0,7,0.137737
100,1.0,8,0.138968
100,1.0,9,0.151127
100,1.0,10,0.142374
100,1.0,11,0.14827
100,1.0,12,0.139594
100,1.0,13,0.143749
100,1.0,14,0.145388
100,1.0,15,0.141027
100,1.0,16,0.142126
100,1.0,17,0.143048
100,1.0,18,0.137913
100,1.0,19,0.145592
100,1.0,20,0.138009
100,1.0,21,0.148122
100,1.0,22,0.128893
100,1.0,23,0.146181
100,1.0,24,0.138086
100,1.0,25,0.141643
100,1.0,26,0.141308
100,1.0,27,0.141891
100,1.0,28,0.141467
100,1.0,29,0.143808
100,1.0,30,0.134064
