n_devices,tx_jitter_s,seed,delivered_frac
20,0,1,0.815657
20,0,2,0.923232
20,0,3,0.757576
20,0,4,0.800404
20,0,5,0.926263
20,0,6,0.962121
20,0,7,0.990904
20,0,8,0.855051
20,0,9,0.888327
20,0,10,0.817079
20,0,11,0.795455
20,0,12,0.808586
20,0,13,0.908081
20,0,14,0.921717
20,0,15,0.947448
20,0,16,0.809596
20,0,17,0.860101
20,0,18,0.897928
20,0,19,0.799495
20,0,20,0.926225
20,0,21,0.885743
20,0,22,0.88479
20,0,23,0.927741
20,0,24,0.892875
20,0,25,0.910606
20,0,26,0.816709
20,0,27,0.916162
20,0,28,0.962607
20,0,29,0.909091
20,0,30,0.889843
20,1.0,1,0.809426
20,1.0,2,0.902664
20,1.0,3,0.890481
20,1.0,4,0.921579
20,1.0,5,0.920513
20,1.0,6,0.885641
20,1.0,7,0.906202
20,1.0,8,0.890937
20,1.0,9,0.892016
20,1.0,10,0.901228
20,1.0,11,0.882744
20,1.0,12,0.906298
20,1.0,13,0.848049
20,1.0,14,0.88775
20,1.0,15,0.852098
20,1.0,16,0.905593
20,1.0,17,0.855095
20,1.0,18,0.855243
20,1.0,19,0.901178
20,1.0,20,0.855385
20,1.0,21,0.904053
20,1.0,22,0.889288
20,1.0,23,0.868542
20,1.0,24,0.87404
20,1.0,25,0.906715
20,1.0,26,0.894009
20,1.0,27,0.840328
20,1.0,28,0.880879
20,1.0,29,0.882504
20,1.0,30,0.867179
100,0,1,0.526225
100,0,2,0.540871
100,0,3,0.525417
100,0,4,0.514095
100,0,5,0.499394
100,0,6,0.482825
100,0,7,0.454536
100,0,8,0.565468
100,0,9,0.492017
100,0,10,0.523092
100,0,11,0.510662
100,0,12,0.519106
100,0,13,0.477923
100,0,14,0.545271
100,0,15,0.486863
100,0,16,0.5288
100,0,17,0.501566
100,0,18,0.482867
100,0,19,0.457154
100,0,20,0.475035
100,0,21,0.493228
100,0,22,0.461243
100,0,23,0.504597
100,0,24,0.460909
100,0,25,0.556386
100,0,26,0.500303
100,0,27,0.54811
100,0,28,0.472615
100,0,29,0.487268
100,0,30,0.488022
100,1.0,1,0.4851
100,1.0,2,0.486869
100,1.0,3,0.514804
100,1.0,4,0.503125
100,1.0,5,0.505478
100,1.0,6,0.512025
100,1.0,7,0.505069
100,1.0,8,0.48158
100,1.0,9,0.535246
100,1.0,10,0.513469
100,1.0,11,0.520274
100,1.0,12,0.516284
100,1.0,13,0.513771
100,1.0,14,0.498413
100,1.0,15,0.510095
100,1.0,16,0.52007
100,1.0,17,0.502051
100,1.0,18,0.503737
100,1.0,19,0.476195
100,1.0,20,0.528658
100,1.0,21,0.518682
100,1.0,22,0.489652
100,1.0,23,0.517478
100,1.0,24,0.513727
100,1.0,25,0.48433
100,1.0,26,0.522051
100,1.0,27,0.518146
100,1.0,28,0.519873
100,1.0,29,0.502456
100,1.0,30,0.494367
