N,mode,ns3_goodput_mbps,analytic_mbps,gap_pct,naive_reduction_mbps,naive_gap_pct,airtime_share
5,broadcast,4.3361,4.3329,0.07,4.3262,0.23,0.7227
10,broadcast,3.1338,3.1319,0.06,3.0253,3.59,0.5223
20,broadcast,1.7926,1.7823,0.58,1.3477,33.01,0.2988
35,broadcast,1.2247,1.2407,-1.29,0.3356,264.95,0.2041
50,broadcast,1.2466,1.2595,-1.03,0.0726,1617.86,0.2078
5,unicast,4.6726,4.6488,0.51,,,0.7788
10,unicast,4.326,4.2708,1.29,,,0.721
20,unicast,3.943,3.9064,0.94,,,0.6572
35,unicast,3.6159,3.6085,0.21,,,0.6027
50,unicast,3.4026,3.4107,-0.24,,,0.5671
