# python=3.12.3
# platform=Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.39
# cpu=Intel(R) Core(TM) i5-14400F
# governor=WSL, governor uncontrolled
# cryptography=45.0.7
# blspy=2.0.3
# cbor2=5.8.0
# msgpack=1.2.1
# run=ns3_dcf_residual
# ns3_version=3.41
# config_hash=46f5a413efa7c770
N,mode,seed,frameSize,simTime,goodput_mbps,busy_periods,busy_per_s,transmissions,mean_multiplicity,p_s_measured,p_s_independent,tau_matched,winner_participant_frac,winner_uniform_frac,p_succ_after_collision,p_succ_after_success,rx_ok_node0,rx_drop_node0
5,broadcast,1,1400,10.0,4.3064,4519,502.111,5742,1.27064,0.764992,0.76176,0.120068,0.212041,0.254139,0.799435,0.75434,3247,2116
5,broadcast,2,1400,10.0,4.3568,4520,502.222,5700,1.26106,0.773451,0.769202,0.116257,0.208453,0.252224,0.788086,0.769385,3255,2054
5,broadcast,3,1400,10.0,4.32096,4519,502.111,5703,1.262,0.770746,0.768466,0.116634,0.212483,0.252413,0.78861,0.765365,3241,2091
5,broadcast,4,1400,10.0,4.3512,4519,502.111,5699,1.26112,0.771188,0.769156,0.11628,0.202302,0.252236,0.79207,0.764925,3265,2033
5,broadcast,5,1400,10.0,4.34224,4520,502.222,5689,1.25863,0.77146,0.771104,0.115284,0.205798,0.251737,0.793804,0.764773,3268,2016
5,unicast,1,1400,10.0,4.63792,8111,901.222,8822,1.08766,0.918876,0.916024,0.042026,0.092972,0.217534,0.881459,0.922169,6979,1290
5,unicast,2,1400,10.0,4.65248,8130,903.333,8832,1.08635,0.920664,0.917229,0.041422,0.090048,0.217247,0.89441,0.922912,6933,1281
5,unicast,3,1400,10.0,4.70176,8159,906.556,8829,1.08212,0.924746,0.921122,0.039471,0.095367,0.216426,0.920195,0.925106,7006,1192
5,unicast,4,1400,10.0,4.69392,8169,907.667,8821,1.07981,0.926062,0.92325,0.038404,0.095984,0.215965,0.912252,0.927155,7223,1216
5,unicast,5,1400,10.0,4.6816,8159,906.556,8826,1.08175,0.924501,0.921462,0.039301,0.089483,0.216352,0.907468,0.925882,7013,1214
10,broadcast,1,1400,10.0,3.16512,4533,503.667,7386,1.62938,0.5621,0.543673,0.114813,0.170565,0.162952,0.594458,0.53671,2682,5099
10,broadcast,2,1400,10.0,3.12032,4533,503.667,7386,1.62938,0.553938,0.543673,0.114813,0.184025,0.162952,0.591988,0.523506,2637,5124
10,broadcast,3,1400,10.0,3.12816,4533,503.667,7322,1.61527,0.556364,0.551063,0.112627,0.17917,0.161518,0.58408,0.534496,2634,5065
10,broadcast,4,1400,10.0,3.13824,4533,503.667,7397,1.63181,0.55857,0.542413,0.115188,0.165931,0.163173,0.594,0.530411,2619,5176
10,broadcast,5,1400,10.0,3.11248,4533,503.667,7344,1.62012,0.5546,0.548511,0.11338,0.178067,0.162004,0.574331,0.538584,2616,5109
10,unicast,1,1400,10.0,4.30752,7873,874.778,8957,1.13769,0.880097,0.87271,0.029031,0.044461,0.11377,0.817797,0.888568,7214,2120
10,unicast,2,1400,10.0,4.31088,7876,875.111,8949,1.13624,0.880777,0.87395,0.02874,0.037714,0.113625,0.828541,0.887832,7263,2173
10,unicast,3,1400,10.0,4.30192,7875,875.0,8965,1.13841,0.880508,0.872089,0.029177,0.04191,0.113843,0.819341,0.888793,7301,2168
10,unicast,4,1400,10.0,4.28736,7855,872.778,8955,1.14004,0.87753,0.870703,0.029502,0.042017,0.114006,0.797297,0.888712,7135,2157
10,unicast,5,1400,10.0,4.30528,7867,874.111,8976,1.14097,0.878988,0.86991,0.029688,0.046656,0.114099,0.795168,0.890512,7310,2156
20,broadcast,1,1400,10.0,1.7752,4539,504.333,11133,2.45274,0.316369,0.262458,0.110971,0.201631,0.122642,0.339781,0.266017,1584,10403
20,broadcast,2,1400,10.0,1.81888,4540,504.444,11179,2.46233,0.324229,0.260193,0.111558,0.201146,0.1231,0.3567,0.256793,1611,10407
20,broadcast,3,1400,10.0,1.7584,4540,504.444,11061,2.43634,0.314317,0.266374,0.109963,0.203789,0.1218,0.339653,0.258584,1562,10315
20,broadcast,4,1400,10.0,1.76512,4540,504.444,11169,2.46013,0.311674,0.260711,0.111424,0.198502,0.123023,0.33216,0.26662,1589,10376
20,broadcast,5,1400,10.0,1.73264,4539,504.333,11189,2.46508,0.305794,0.259548,0.111727,0.193477,0.12327,0.329419,0.252343,1546,10502
20,unicast,1,1400,10.0,3.9424,7592,843.556,9156,1.20601,0.834168,0.817751,0.02024,0.016467,0.060302,0.732327,0.85439,7031,3128
20,unicast,2,1400,10.0,3.9592,7623,847.0,9166,1.20241,0.838909,0.820567,0.019909,0.021385,0.060122,0.71987,0.861745,6952,3066
20,unicast,3,1400,10.0,3.93344,7589,843.222,9122,1.202,0.833443,0.82089,0.019871,0.017659,0.060101,0.74288,0.851518,7033,3073
20,unicast,4,1400,10.0,3.9368,7598,844.222,9160,1.20558,0.835088,0.818084,0.020201,0.020008,0.06028,0.75818,0.850252,7210,3210
20,unicast,5,1400,10.0,3.92224,7589,843.222,9162,1.20727,0.833311,0.81676,0.020357,0.021218,0.060365,0.732806,0.853392,6938,3089
35,broadcast,1,1400,10.0,1.24096,4542,504.667,16999,3.74262,0.219507,0.087105,0.104704,0.260075,0.106912,0.25254,0.101304,1128,18055
35,broadcast,2,1400,10.0,1.19952,4542,504.667,17029,3.74923,0.212682,0.08659,0.104906,0.248183,0.107113,0.241119,0.106625,1082,18123
35,broadcast,3,1400,10.0,1.25216,4542,504.667,16884,3.71731,0.221708,0.089104,0.103927,0.255891,0.106226,0.259689,0.088469,1147,17814
35,broadcast,4,1400,10.0,1.3216,4542,504.667,16833,3.70608,0.233818,0.090004,0.103583,0.263378,0.105886,0.277666,0.090395,1198,17768
35,broadcast,5,1400,10.0,1.21184,4542,504.667,17078,3.76002,0.215103,0.085756,0.105237,0.247743,0.107434,0.244108,0.108495,1104,18084
35,unicast,1,1400,10.0,3.59408,7347,816.333,9304,1.26637,0.791888,0.77289,0.014418,0.01266,0.036183,0.649444,0.829293,6580,4065
35,unicast,2,1400,10.0,3.55936,7315,812.778,9363,1.27997,0.786329,0.763083,0.015097,0.012305,0.036568,0.663892,0.819715,6475,4159
35,unicast,3,1400,10.0,3.52576,7285,809.444,9365,1.28552,0.780782,0.759129,0.015373,0.011807,0.036726,0.629073,0.823312,6455,4241
35,unicast,4,1400,10.0,3.5896,7342,815.778,9368,1.27595,0.790384,0.76597,0.014897,0.010489,0.036457,0.668616,0.822647,6484,4071
35,unicast,5,1400,10.0,3.55152,7295,810.556,9425,1.29198,0.782728,0.754551,0.015693,0.012887,0.036915,0.65489,0.818182,6420,4233
