# python=3.12.3
# platform=Linux-6.18.33.2-microsoft-standard-WSL2-x86_64-with-glibc2.39
# cpu=Intel(R) Core(TM) i5-14400F
# governor=WSL, governor uncontrolled
# cryptography=45.0.7
# blspy=2.0.3
# cbor2=5.8.0
# msgpack=1.2.1
# run=ns3_delay
# config_hash=55f49741756b675a
n_nodes,frames_per_s,lambda_rec_per_s,frame_bytes,channel_util,delivered_frac,delivered_min,delivered_max,delivered_stdev,seeds_failing_v,delay_mean_stdev_ms,delay_mean_ms,delay_p50_ms,delay_p95_ms,delay_p99_ms,delay_max_ms,model_non_fill_ms,access_delay_ms,pct_of_250ms_budget,seeds
50,1,4,174,0.0774,0.99986,0.99579,1.0,0.00077,0,0.0043,0.342,0.338,0.3417,0.486,0.5127,0.3382,0.0037,0.137,30
50,2,8,174,0.1547,0.99962,0.99487,1.0,0.00112,0,0.0062,0.3471,0.338,0.3701,0.6049,0.6544,0.3385,0.0086,0.139,30
50,3,12,174,0.2321,0.99964,0.99661,1.0,0.0009,0,0.0093,0.3523,0.338,0.4321,0.6654,0.719,0.3387,0.0136,0.141,30
50,5,20,174,0.3869,0.99606,0.95394,1.0,0.01077,0,0.0135,0.3605,0.338,0.5169,0.7613,0.8583,0.3392,0.0213,0.144,30
50,7,28,174,0.5416,0.9928,0.95252,1.0,0.01501,0,0.0159,0.3706,0.338,0.5912,0.8172,0.9428,0.3397,0.031,0.148,30
50,9,36,174,0.6964,0.99234,0.94693,1.0,0.0139,1,0.0189,0.382,0.338,0.6431,0.8922,1.0226,0.3402,0.0419,0.153,30
50,12,48,174,0.9285,0.98832,0.94025,1.0,0.01555,1,0.0236,0.3986,0.338,0.7038,0.9789,1.1924,0.3409,0.0577,0.159,30
50,15,60,174,1.1606,0.98509,0.94274,1.0,0.01615,2,0.0274,0.4174,0.338,0.7698,1.1102,1.3691,0.3416,0.0758,0.167,30
50,20,80,174,1.5475,0.97855,0.90887,0.99559,0.01907,3,0.0303,0.4508,0.338,0.8947,1.275,1.6854,0.3428,0.1079,0.18,30
50,30,120,174,2.3212,0.95293,0.91623,0.98184,0.02006,13,0.0446,0.5418,0.362,1.2286,1.7662,2.6839,0.3453,0.1965,0.217,30
50,40,160,174,3.0949,0.90345,0.84313,0.95735,0.0303,29,0.0662,0.6678,0.5019,1.6643,2.3645,3.7577,0.3478,0.32,0.267,30
50,60,240,174,4.6424,0.7473,0.67498,0.80226,0.03488,30,0.0694,1.0865,0.7339,2.846,3.7065,5.7537,0.3528,0.7337,0.435,30
