# python=3.12.3
# platform=Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.39
# cpu=Intel(R) Core(TM) i5-14400F
# governor=WSL, governor uncontrolled
# cryptography=45.0.7
# blspy=2.0.3
# cbor2=5.8.0
# msgpack=1.2.1
# run=ns3_matrix_30seed
# ns3_version=3.41
# config_hash=f478b8584cdb3946
N,mode,seed,frameSize,simTime,goodput_mbps
5,unicast,1,1400,10.0,4.676
5,unicast,2,1400,10.0,4.67712
5,unicast,3,1400,10.0,4.69168
5,unicast,4,1400,10.0,4.67824
5,unicast,5,1400,10.0,4.66928
5,unicast,6,1400,10.0,4.64912
5,unicast,7,1400,10.0,4.66368
5,unicast,8,1400,10.0,4.65024
5,unicast,9,1400,10.0,4.67824
5,unicast,10,1400,10.0,4.66816
5,unicast,11,1400,10.0,4.71744
5,unicast,12,1400,10.0,4.69504
5,unicast,13,1400,10.0,4.67824
5,unicast,14,1400,10.0,4.68944
5,unicast,15,1400,10.0,4.63792
5,unicast,16,1400,10.0,4.67824
5,unicast,17,1400,10.0,4.65584
5,unicast,18,1400,10.0,4.68608
5,unicast,19,1400,10.0,4.67152
5,unicast,20,1400,10.0,4.64464
5,unicast,21,1400,10.0,4.68496
5,unicast,22,1400,10.0,4.66368
5,unicast,23,1400,10.0,4.69504
5,unicast,24,1400,10.0,4.66368
5,unicast,25,1400,10.0,4.67488
5,unicast,26,1400,10.0,4.65024
5,unicast,27,1400,10.0,4.65808
5,unicast,28,1400,10.0,4.67264
5,unicast,29,1400,10.0,4.64016
5,unicast,30,1400,10.0,4.70064
5,broadcast,1,1400,10.0,4.37808
5,broadcast,2,1400,10.0,4.37696
5,broadcast,3,1400,10.0,4.32656
5,broadcast,4,1400,10.0,4.33664
5,broadcast,5,1400,10.0,4.32656
5,broadcast,6,1400,10.0,4.31984
5,broadcast,7,1400,10.0,4.3568
5,broadcast,8,1400,10.0,4.32432
5,broadcast,9,1400,10.0,4.35568
5,broadcast,10,1400,10.0,4.33552
5,broadcast,11,1400,10.0,4.34
5,broadcast,12,1400,10.0,4.32768
5,broadcast,13,1400,10.0,4.3512
5,broadcast,14,1400,10.0,4.30416
5,broadcast,15,1400,10.0,4.31648
5,broadcast,16,1400,10.0,4.32656
5,broadcast,17,1400,10.0,4.36016
5,broadcast,18,1400,10.0,4.33664
5,broadcast,19,1400,10.0,4.312
5,broadcast,20,1400,10.0,4.34336
5,broadcast,21,1400,10.0,4.34896
5,broadcast,22,1400,10.0,4.34112
5,broadcast,23,1400,10.0,4.29856
5,broadcast,24,1400,10.0,4.28848
5,broadcast,25,1400,10.0,4.32096
5,broadcast,26,1400,10.0,4.35008
5,broadcast,27,1400,10.0,4.3232
5,broadcast,28,1400,10.0,4.33216
5,broadcast,29,1400,10.0,4.2784
5,broadcast,30,1400,10.0,4.3176
10,unicast,1,1400,10.0,4.30528
10,unicast,2,1400,10.0,4.33216
10,unicast,3,1400,10.0,4.33104
10,unicast,4,1400,10.0,4.32992
10,unicast,5,1400,10.0,4.31648
10,unicast,6,1400,10.0,4.34
10,unicast,7,1400,10.0,4.3456
10,unicast,8,1400,10.0,4.312
10,unicast,9,1400,10.0,4.32208
10,unicast,10,1400,10.0,4.31872
10,unicast,11,1400,10.0,4.34896
10,unicast,12,1400,10.0,4.3232
10,unicast,13,1400,10.0,4.3064
10,unicast,14,1400,10.0,4.31536
10,unicast,15,1400,10.0,4.30416
10,unicast,16,1400,10.0,4.34
10,unicast,17,1400,10.0,4.36576
10,unicast,18,1400,10.0,4.31088
10,unicast,19,1400,10.0,4.33328
10,unicast,20,1400,10.0,4.34448
10,unicast,21,1400,10.0,4.28848
10,unicast,22,1400,10.0,4.2952
