# python=3.12.3
# platform=Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.39
# cpu=Intel(R) Core(TM) i5-14400F
# governor=WSL, governor uncontrolled
# cryptography=45.0.7
# blspy=2.0.3
# cbor2=5.8.0
# msgpack=1.2.1
# run=ns3_matrix_288B_30seed
# ns3_version=3.41
# config_hash=080876a2c64a0005
N,mode,seed,frameSize,simTime,goodput_mbps
5,unicast,1,288,5.0,3.47489
5,unicast,2,288,5.0,3.47259
5,unicast,3,288,5.0,3.49379
5,unicast,4,288,5.0,3.47351
5,unicast,5,288,5.0,3.46706
5,unicast,6,288,5.0,3.45876
5,unicast,7,288,5.0,3.46476
5,unicast,8,288,5.0,3.46476
5,unicast,9,288,5.0,3.4772
5,unicast,10,288,5.0,3.48503
5,unicast,11,288,5.0,3.49609
5,unicast,12,288,5.0,3.4795
5,unicast,13,288,5.0,3.46291
5,unicast,14,288,5.0,3.47489
5,unicast,15,288,5.0,3.46245
5,unicast,16,288,5.0,3.47535
5,unicast,17,288,5.0,3.48227
5,unicast,18,288,5.0,3.47628
5,unicast,19,288,5.0,3.47858
5,unicast,20,288,5.0,3.46522
5,unicast,21,288,5.0,3.4901
5,unicast,22,288,5.0,3.46568
5,unicast,23,288,5.0,3.49102
5,unicast,24,288,5.0,3.47397
5,unicast,25,288,5.0,3.47121
5,unicast,26,288,5.0,3.46522
5,unicast,27,288,5.0,3.46107
5,unicast,28,288,5.0,3.4772
5,unicast,29,288,5.0,3.4537
5,unicast,30,288,5.0,3.47904
5,broadcast,1,288,5.0,3.50208
5,broadcast,2,288,5.0,3.53157
5,broadcast,3,288,5.0,3.50484
5,broadcast,4,288,5.0,3.48365
5,broadcast,5,288,5.0,3.51775
5,broadcast,6,288,5.0,3.48134
5,broadcast,7,288,5.0,3.51775
5,broadcast,8,288,5.0,3.48457
5,broadcast,9,288,5.0,3.48319
5,broadcast,10,288,5.0,3.48826
5,broadcast,11,288,5.0,3.50991
5,broadcast,12,288,5.0,3.48503
5,broadcast,13,288,5.0,3.51683
5,broadcast,14,288,5.0,3.49655
5,broadcast,15,288,5.0,3.49194
5,broadcast,16,288,5.0,3.49056
5,broadcast,17,288,5.0,3.49655
5,broadcast,18,288,5.0,3.4878
5,broadcast,19,288,5.0,3.47581
5,broadcast,20,288,5.0,3.52051
