# python=3.12.3
# platform=Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.39
# cpu=Intel(R) Core(TM) i5-14400F
# governor=WSL, governor uncontrolled
# cryptography=45.0.7
# blspy=2.0.3
# cbor2=5.8.0
# msgpack=1.2.1
# run=ns3_matrix_72B_30seed
# ns3_version=3.41
# config_hash=7720b4ed413697d4
N,mode,seed,frameSize,simTime,goodput_mbps
5,unicast,1,72,5.0,1.76486
5,unicast,2,72,5.0,1.76532
5,unicast,3,72,5.0,1.76774
5,unicast,4,72,5.0,1.76187
5,unicast,5,72,5.0,1.76694
5,unicast,6,72,5.0,1.76095
5,unicast,7,72,5.0,1.76279
5,unicast,8,72,5.0,1.75611
5,unicast,9,72,5.0,1.76244
5,unicast,10,72,5.0,1.76187
5,unicast,11,72,5.0,1.76521
5,unicast,12,72,5.0,1.7644
5,unicast,13,72,5.0,1.75807
5,unicast,14,72,5.0,1.76463
5,unicast,15,72,5.0,1.76429
5,unicast,16,72,5.0,1.76095
5,unicast,17,72,5.0,1.76279
5,unicast,18,72,5.0,1.75864
5,unicast,19,72,5.0,1.76671
5,unicast,20,72,5.0,1.76003
5,unicast,21,72,5.0,1.76579
5,unicast,22,72,5.0,1.76337
5,unicast,23,72,5.0,1.76959
5,unicast,24,72,5.0,1.76924
5,unicast,25,72,5.0,1.75876
5,unicast,26,72,5.0,1.75807
5,unicast,27,72,5.0,1.75991
5,unicast,28,72,5.0,1.76175
5,unicast,29,72,5.0,1.7568
5,unicast,30,72,5.0,1.76394
5,broadcast,1,72,5.0,2.01911
5,broadcast,2,72,5.0,2.03858
5,broadcast,3,72,5.0,2.02683
5,broadcast,4,72,5.0,2.01254
5,broadcast,5,72,5.0,2.03028
5,broadcast,6,72,5.0,2.01923
5,broadcast,7,72,5.0,2.02764
5,broadcast,8,72,5.0,2.02026
5,broadcast,9,72,5.0,2.02326
5,broadcast,10,72,5.0,2.03316
5,broadcast,11,72,5.0,2.0251
5,broadcast,12,72,5.0,2.02441
5,broadcast,13,72,5.0,2.03363
5,broadcast,14,72,5.0,2.02199
5,broadcast,15,72,5.0,2.02844
5,broadcast,16,72,5.0,2.01335
5,broadcast,17,72,5.0,2.02856
5,broadcast,18,72,5.0,2.02994
5,broadcast,19,72,5.0,2.02084
5,broadcast,20,72,5.0,2.03075
5,broadcast,21,72,5.0,2.03201
5,broadcast,22,72,5.0,2.02648
5,broadcast,23,72,5.0,2.02499
5,broadcast,24,72,5.0,2.01623
5,broadcast,25,72,5.0,2.02441
5,broadcast,26,72,5.0,2.04111
5,broadcast,27,72,5.0,2.01646
5,broadcast,28,72,5.0,2.02153
5,broadcast,29,72,5.0,2.0183
5,broadcast,30,72,5.0,2.03247
10,unicast,1,72,5.0,1.67985
10,unicast,2,72,5.0,1.68561
10,unicast,3,72,5.0,1.68756
10,unicast,4,72,5.0,1.67916
10,unicast,5,72,5.0,1.6818
10,unicast,6,72,5.0,1.68342
10,unicast,7,72,5.0,1.69252
10,unicast,8,72,5.0,1.67927
10,unicast,9,72,5.0,1.68215
10,unicast,10,72,5.0,1.68169
10,unicast,11,72,5.0,1.68929
10,unicast,12,72,5.0,1.68353
10,unicast,13,72,5.0,1.68238
10,unicast,14,72,5.0,1.68227
10,unicast,15,72,5.0,1.68641
10,unicast,16,72,5.0,1.68434
10,unicast,17,72,5.0,1.69609
10,unicast,18,72,5.0,1.68227
10,unicast,19,72,5.0,1.68399
10,unicast,20,72,5.0,1.6878
10,unicast,21,72,5.0,1.68319
10,unicast,22,72,5.0,1.68019
10,unicast,23,72,5.0,1.68111
10,unicast,24,72,5.0,1.68422
10,unicast,25,72,5.0,1.68618
10,unicast,26,72,5.0,1.69597
10,unicast,27,72,5.0,1.68065
10,unicast,28,72,5.0,1.68445
10,unicast,29,72,5.0,1.6916
10,unicast,30,72,5.0,1.6848
10,broadcast,1,72,5.0,1.49783
10,broadcast,2,72,5.0,1.50601
10,broadcast,3,72,5.0,1.515
10,broadcast,4,72,5.0,1.48758
10,broadcast,5,72,5.0,1.49979
10,broadcast,6,72,5.0,1.49126
10,broadcast,7,72,5.0,1.50636
10,broadcast,8,72,5.0,1.50912
10,broadcast,9,72,5.0,1.50647
10,broadcast,10,72,5.0,1.48977
10,broadcast,11,72,5.0,1.50359
10,broadcast,12,72,5.0,1.4923
10,broadcast,13,72,5.0,1.4999
10,broadcast,14,72,5.0,1.50371
10,broadcast,15,72,5.0,1.49288
10,broadcast,16,72,5.0,1.49714
10,broadcast,17,72,5.0,1.49334
10,broadcast,18,72,5.0,1.49495
10,broadcast,19,72,5.0,1.50382
10,broadcast,20,72,5.0,1.51638
10,broadcast,21,72,5.0,1.49334
10,broadcast,22,72,5.0,1.49783
10,broadcast,23,72,5.0,1.50152
10,broadcast,24,72,5.0,1.50474
10,broadcast,25,72,5.0,1.5014
10,broadcast,26,72,5.0,1.49622
10,broadcast,27,72,5.0,1.50935
10,broadcast,28,72,5.0,1.50762
10,broadcast,29,72,5.0,1.50843
10,broadcast,30,72,5.0,1.48977
20,unicast,1,72,5.0,1.58515
20,unicast,2,72,5.0,1.57836
20,unicast,3,72,5.0,1.57801
20,unicast,4,72,5.0,1.57997
20,unicast,5,72,5.0,1.58262
20,unicast,6,72,5.0,1.58124
20,unicast,7,72,5.0,1.57617
20,unicast,8,72,5.0,1.57501
20,unicast,9,72,5.0,1.58481
20,unicast,10,72,5.0,1.57513
20,unicast,11,72,5.0,1.58999
20,unicast,12,72,5.0,1.58619
20,unicast,13,72,5.0,1.57962
20,unicast,14,72,5.0,1.5893
20,unicast,15,72,5.0,1.5878
20,unicast,16,72,5.0,1.57789
20,unicast,17,72,5.0,1.58504
20,unicast,18,72,5.0,1.59126
20,unicast,19,72,5.0,1.58423
20,unicast,20,72,5.0,1.58723
20,unicast,21,72,5.0,1.58953
20,unicast,22,72,5.0,1.58089
20,unicast,23,72,5.0,1.58239
20,unicast,24,72,5.0,1.57686
20,unicast,25,72,5.0,1.57386
20,unicast,26,72,5.0,1.59587
20,unicast,27,72,5.0,1.58561
20,unicast,28,72,5.0,1.59011
20,unicast,29,72,5.0,1.58181
20,unicast,30,72,5.0,1.58054
20,broadcast,1,72,5.0,0.859738
20,broadcast,2,72,5.0,0.868723
20,broadcast,3,72,5.0,0.858355
20,broadcast,4,72,5.0,0.859853
20,broadcast,5,72,5.0,0.862733
20,broadcast,6,72,5.0,0.870682
20,broadcast,7,72,5.0,0.853402
20,broadcast,8,72,5.0,0.862042
20,broadcast,9,72,5.0,0.852019
20,broadcast,10,72,5.0,0.86688
20,broadcast,11,72,5.0,0.882662
20,broadcast,12,72,5.0,0.860659
20,broadcast,13,72,5.0,0.871949
20,broadcast,14,72,5.0,0.862157
20,broadcast,15,72,5.0,0.870797
20,broadcast,16,72,5.0,0.868032
20,broadcast,17,72,5.0,0.864346
20,broadcast,18,72,5.0,0.866189
20,broadcast,19,72,5.0,0.855014
20,broadcast,20,72,5.0,0.860083
20,broadcast,21,72,5.0,0.872986
20,broadcast,22,72,5.0,0.853171
20,broadcast,23,72,5.0,0.86999
20,broadcast,24,72,5.0,0.86135
20,broadcast,25,72,5.0,0.86953
20,broadcast,26,72,5.0,0.867341
20,broadcast,27,72,5.0,0.866189
20,broadcast,28,72,5.0,0.876326
20,broadcast,29,72,5.0,0.874483
20,broadcast,30,72,5.0,0.872064
35,unicast,1,72,5.0,1.47387
35,unicast,2,72,5.0,1.48378
35,unicast,3,72,5.0,1.48596
35,unicast,4,72,5.0,1.48412
35,unicast,5,72,5.0,1.47514
35,unicast,6,72,5.0,1.48182
35,unicast,7,72,5.0,1.48332
35,unicast,8,72,5.0,1.48193
35,unicast,9,72,5.0,1.48412
35,unicast,10,72,5.0,1.48055
35,unicast,11,72,5.0,1.48896
35,unicast,12,72,5.0,1.47859
35,unicast,13,72,5.0,1.4855
35,unicast,14,72,5.0,1.47629
35,unicast,15,72,5.0,1.47732
35,unicast,16,72,5.0,1.48366
35,unicast,17,72,5.0,1.47756
35,unicast,18,72,5.0,1.4832
35,unicast,19,72,5.0,1.47352
35,unicast,20,72,5.0,1.48504
35,unicast,21,72,5.0,1.47997
35,unicast,22,72,5.0,1.48712
35,unicast,23,72,5.0,1.48931
35,unicast,24,72,5.0,1.47802
35,unicast,25,72,5.0,1.48332
35,unicast,26,72,5.0,1.48355
35,unicast,27,72,5.0,1.48516
35,unicast,28,72,5.0,1.48297
35,unicast,29,72,5.0,1.4832
35,unicast,30,72,5.0,1.48044
35,broadcast,1,72,5.0,0.606989
35,broadcast,2,72,5.0,0.595123
35,broadcast,3,72,5.0,0.606989
35,broadcast,4,72,5.0,0.603072
35,broadcast,5,72,5.0,0.603763
35,broadcast,6,72,5.0,0.611251
35,broadcast,7,72,5.0,0.595814
35,broadcast,8,72,5.0,0.600307
35,broadcast,9,72,5.0,0.59881
35,broadcast,10,72,5.0,0.605491
35,broadcast,11,72,5.0,0.608026
35,broadcast,12,72,5.0,0.613094
