# python=3.12.3
# platform=Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.39
# cpu=Intel(R) Core(TM) i5-14400F
# governor=WSL, governor uncontrolled
# cryptography=45.0.7
# blspy=2.0.3
# cbor2=5.8.0
# msgpack=1.2.1
# run=ns3_matrix
# ns3_version=3.41
# config_hash=ebe4b9a100a24791
N,mode,seed,frameSize,simTime,goodput_mbps
5,unicast,1,1400,10.0,4.676
5,unicast,2,1400,10.0,4.67712
5,unicast,3,1400,10.0,4.69168
5,unicast,4,1400,10.0,4.67824
5,unicast,5,1400,10.0,4.66928
5,unicast,6,1400,10.0,4.64912
5,unicast,7,1400,10.0,4.66368
5,unicast,8,1400,10.0,4.65024
5,unicast,9,1400,10.0,4.67824
5,unicast,10,1400,10.0,4.66816
5,broadcast,1,1400,10.0,4.37808
5,broadcast,2,1400,10.0,4.37696
5,broadcast,3,1400,10.0,4.32656
5,broadcast,4,1400,10.0,4.33664
5,broadcast,5,1400,10.0,4.32656
5,broadcast,6,1400,10.0,4.31984
5,broadcast,7,1400,10.0,4.3568
5,broadcast,8,1400,10.0,4.32432
5,broadcast,9,1400,10.0,4.35568
5,broadcast,10,1400,10.0,4.33552
10,unicast,1,1400,10.0,4.30528
10,unicast,2,1400,10.0,4.33216
10,unicast,3,1400,10.0,4.33104
10,unicast,4,1400,10.0,4.32992
10,unicast,5,1400,10.0,4.31648
10,unicast,6,1400,10.0,4.34
10,unicast,7,1400,10.0,4.3456
10,unicast,8,1400,10.0,4.312
10,unicast,9,1400,10.0,4.32208
10,unicast,10,1400,10.0,4.31872
10,broadcast,1,1400,10.0,3.13712
10,broadcast,2,1400,10.0,3.14944
10,broadcast,3,1400,10.0,3.11808
10,broadcast,4,1400,10.0,3.09792
10,broadcast,5,1400,10.0,3.12816
10,broadcast,6,1400,10.0,3.11136
10,broadcast,7,1400,10.0,3.17184
10,broadcast,8,1400,10.0,3.1472
10,broadcast,9,1400,10.0,3.1304
10,broadcast,10,1400,10.0,3.14496
20,unicast,1,1400,10.0,3.94688
20,unicast,2,1400,10.0,3.9312
20,unicast,3,1400,10.0,3.96368
20,unicast,4,1400,10.0,3.94352
20,unicast,5,1400,10.0,3.93344
20,unicast,6,1400,10.0,3.9592
20,unicast,7,1400,10.0,3.948
20,unicast,8,1400,10.0,3.9256
20,unicast,9,1400,10.0,3.93792
20,unicast,10,1400,10.0,3.9424
20,broadcast,1,1400,10.0,1.83456
20,broadcast,2,1400,10.0,1.8088
20,broadcast,3,1400,10.0,1.77632
20,broadcast,4,1400,10.0,1.764
20,broadcast,5,1400,10.0,1.84016
20,broadcast,6,1400,10.0,1.82336
20,broadcast,7,1400,10.0,1.71024
20,broadcast,8,1400,10.0,1.73264
20,broadcast,9,1400,10.0,1.73824
20,broadcast,10,1400,10.0,1.83008
35,unicast,1,1400,10.0,3.62768
35,unicast,2,1400,10.0,3.6064
35,unicast,3,1400,10.0,3.68144
35,unicast,4,1400,10.0,3.59632
35,unicast,5,1400,10.0,3.60528
35,unicast,6,1400,10.0,3.60976
35,unicast,7,1400,10.0,3.63888
35,unicast,8,1400,10.0,3.61536
35,unicast,9,1400,10.0,3.61648
35,unicast,10,1400,10.0,3.64
35,broadcast,1,1400,10.0,1.25216
35,broadcast,2,1400,10.0,1.2152
35,broadcast,3,1400,10.0,1.1984
35,broadcast,4,1400,10.0,1.25216
35,broadcast,5,1400,10.0,1.21968
35,broadcast,6,1400,10.0,1.24096
35,broadcast,7,1400,10.0,1.22976
35,broadcast,8,1400,10.0,1.19168
35,broadcast,9,1400,10.0,1.19728
35,broadcast,10,1400,10.0,1.23088
50,unicast,1,1400,10.0,3.416
50,unicast,2,1400,10.0,3.40032
50,unicast,3,1400,10.0,3.36224
50,unicast,4,1400,10.0,3.38016
50,unicast,5,1400,10.0,3.33984
50,unicast,6,1400,10.0,3.40928
50,unicast,7,1400,10.0,3.4048
50,unicast,8,1400,10.0,3.41376
50,unicast,9,1400,10.0,3.39024
50,unicast,10,1400,10.0,3.42272
50,broadcast,1,1400,10.0,1.25776
50,broadcast,2,1400,10.0,1.24432
50,broadcast,3,1400,10.0,1.19616
50,broadcast,4,1400,10.0,1.30928
50,broadcast,5,1400,10.0,1.26
50,broadcast,6,1400,10.0,1.25664
50,broadcast,7,1400,10.0,1.2488
50,broadcast,8,1400,10.0,1.2432
50,broadcast,9,1400,10.0,1.19504
50,broadcast,10,1400,10.0,1.2432
