# python=3.12.3
# platform=Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.39
# cpu=Intel(R) Core(TM) i5-14400F
# governor=WSL, governor uncontrolled
# cryptography=45.0.7
# blspy=2.0.3
# cbor2=5.8.0
# msgpack=1.2.1
# run=operating_region
# config_hash=66c2d88a9ea57c56
lambda_rec_per_s,d_max_ms,lambda_x_dmax,b,auth_bytes_per_rec,auth_cut_pct,total_bytes_per_rec,total_cut_pct,frame_bytes,channel_util_at_n_ref,runnable_at_n_ref,n_max,ts22125_compliant,verdict
5,50,0.25,1,108.0,0.0,152.998,12.2,153.0,0.3554,1,155,0,non-compliant
5,100,0.5,1,108.0,0.0,152.998,12.2,153.0,0.3554,1,155,0,non-compliant
5,150,0.75,1,108.0,0.0,152.998,12.2,153.0,0.3554,1,155,0,non-compliant
5,200,1.0,1,108.0,0.0,152.998,12.2,153.0,0.3554,1,155,0,non-compliant
5,250,1.25,1,108.0,0.0,152.998,12.2,153.0,0.3554,1,155,0,non-compliant
5,500,2.5,2,54.0,50.0,98.998,43.19,198.0,0.2114,1,225,0,non-compliant
5,1000,5.0,4,27.0,75.0,71.998,58.68,288.0,0.1394,1,290,0,non-compliant
10,50,0.5,1,108.0,0.0,152.998,12.2,153.0,0.7109,1,78,1,compliant+runnable
10,100,1.0,1,108.0,0.0,152.998,12.2,153.0,0.7109,1,78,1,compliant+runnable
10,150,1.5,1,108.0,0.0,152.998,12.2,153.0,0.7109,1,78,0,non-compliant
10,200,2.0,1,108.0,0.0,152.998,12.2,153.0,0.7109,1,78,0,non-compliant
10,250,2.5,2,54.0,50.0,98.998,43.19,198.0,0.4228,1,134,0,non-compliant
10,500,5.0,4,27.0,75.0,71.998,58.68,288.0,0.2787,1,186,0,non-compliant
10,1000,10.0,9,12.0,88.89,56.998,67.29,513.0,0.1987,1,233,0,non-compliant
15,50,0.75,1,108.0,0.0,152.998,12.2,153.0,1.0663,0,46,1,"compliant, over capacity"
15,100,1.5,1,108.0,0.0,152.998,12.2,153.0,1.0663,0,46,1,"compliant, over capacity"
15,150,2.25,2,54.0,50.0,98.998,43.19,198.0,0.6342,1,90,0,non-compliant
15,200,3.0,2,54.0,50.0,98.998,43.19,198.0,0.6342,1,90,0,non-compliant
15,250,3.75,3,36.0,66.67,80.998,53.52,243.0,0.4901,1,117,0,non-compliant
15,500,7.5,7,15.429,85.71,60.427,65.32,423.0,0.3255,1,166,0,non-compliant
15,1000,15.0,14,7.714,92.86,52.712,69.75,738.0,0.2638,1,193,0,non-compliant
20,50,1.0,1,108.0,0.0,152.998,12.2,153.0,1.4217,0,34,1,"compliant, over capacity"
20,100,2.0,1,108.0,0.0,152.998,12.2,153.0,1.4217,0,34,1,"compliant, over capacity"
20,150,3.0,2,54.0,50.0,98.998,43.19,198.0,0.8456,1,62,0,non-compliant
20,200,4.0,3,36.0,66.67,80.998,53.52,243.0,0.6535,1,87,0,non-compliant
20,250,5.0,4,27.0,75.0,71.998,58.68,288.0,0.5575,1,103,0,non-compliant
20,500,10.0,9,12.0,88.89,56.998,67.29,513.0,0.3974,1,141,0,non-compliant
20,1000,20.0,19,5.684,94.74,50.682,70.91,963.0,0.33,1,164,0,non-compliant
21,50,1.05,1,108.0,0.0,152.998,12.2,153.0,1.4928,0,33,1,"compliant, over capacity"
21,100,2.1,2,54.0,50.0,98.998,43.19,198.0,0.8878,1,58,1,compliant+runnable
21,150,3.15,3,36.0,66.67,80.998,53.52,243.0,0.6862,1,82,0,non-compliant
21,200,4.2,4,27.0,75.0,71.998,58.68,288.0,0.5853,1,98,0,non-compliant
21,250,5.25,5,21.6,80.0,66.598,61.78,333.0,0.5248,1,110,0,non-compliant
21,500,10.5,10,10.8,90.0,55.798,67.98,558.0,0.4038,1,139,0,non-compliant
21,1000,21.0,20,5.4,95.0,50.398,71.08,1008.0,0.3433,1,159,0,non-compliant
22,50,1.1,1,108.0,0.0,152.998,12.2,153.0,1.5639,0,32,1,"compliant, over capacity"
22,100,2.2,2,54.0,50.0,98.998,43.19,198.0,0.9301,1,55,1,compliant+runnable
22,150,3.3,3,36.0,66.67,80.998,53.52,243.0,0.7189,1,77,0,non-compliant
22,200,4.4,4,27.0,75.0,71.998,58.68,288.0,0.6132,1,93,0,non-compliant
22,250,5.5,5,21.6,80.0,66.598,61.78,333.0,0.5498,1,105,0,non-compliant
22,500,11.0,10,10.8,90.0,55.798,67.98,558.0,0.4231,1,134,0,non-compliant
22,1000,22.0,21,5.143,95.24,50.141,71.23,1053.0,0.3567,1,154,0,non-compliant
25,50,1.25,1,108.0,0.0,152.998,12.2,153.0,1.7772,0,29,1,"compliant, over capacity"
25,100,2.5,2,54.0,50.0,98.998,43.19,198.0,1.057,0,46,1,"compliant, over capacity"
25,150,3.75,3,36.0,66.67,80.998,53.52,243.0,0.8169,1,65,0,non-compliant
25,200,5.0,4,27.0,75.0,71.998,58.68,288.0,0.6968,1,80,0,non-compliant
25,250,6.25,6,18.0,83.33,62.998,63.85,378.0,0.5768,1,100,0,non-compliant
25,500,12.5,12,9.0,91.67,53.998,69.01,648.0,0.4568,1,125,0,non-compliant
25,1000,25.0,24,4.5,95.83,49.498,71.59,1188.0,0.3967,1,141,0,non-compliant
30,50,1.5,1,108.0,0.0,152.998,12.2,153.0,2.1326,0,26,1,"compliant, over capacity"
30,100,3.0,2,54.0,50.0,98.998,43.19,198.0,1.2683,0,38,1,"compliant, over capacity"
30,150,4.5,4,27.0,75.0,71.998,58.68,288.0,0.8362,1,63,0,non-compliant
30,200,6.0,5,21.6,80.0,66.598,61.78,333.0,0.7498,1,73,0,non-compliant
30,250,7.5,7,15.429,85.71,60.427,65.32,423.0,0.651,1,87,0,non-compliant
30,500,15.0,14,7.714,92.86,52.712,69.75,738.0,0.5275,1,109,0,non-compliant
30,1000,30.0,29,3.724,96.55,48.722,72.04,1412.9,0.4637,1,123,0,non-compliant
40,50,2.0,1,108.0,0.0,152.998,12.2,153.0,2.8435,0,22,1,"compliant, over capacity"
