# python=3.12.3
# platform=Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.39
# cpu=Intel(R) Core(TM) i5-14400F
# governor=WSL, governor uncontrolled
# cryptography=45.0.7
# blspy=2.0.3
# cbor2=5.8.0
# msgpack=1.2.1
# run=p1_crypto
# seed=1
# msg_bytes=200
# config_hash=3fdda7e4792f3b27
scheme,op,agg_b,msg_bytes,median_ns,ci_lo_ns,ci_hi_ns,n_ops,checksum
ecdsa_p256,sign,,200,26202.7,25395.2,27060.0,10000,12078058237242863080
ecdsa_p256,verify,,200,78489.6,76110.4,81055.8,10000,1879924464967412048
ed25519,sign,,200,29113.7,28333.1,29757.5,10000,14569473558630159792
ed25519,verify,,200,94972.4,92213.9,97666.7,10000,1879924464967412048
bls,sign,,200,324553.0,322689.0,326199.0,2805,16307892675760923535
bls,verify,,200,1016469.0,1007092.0,1024384.0,911,11996176369804169333
bls,aggregate,2,200,149930.0,148971.9,151048.0,5806,15787895606998468528
bls,agg_verify,2,200,1469257.0,1448208.0,1499619.0,630,8043266460833358988
bls,aggregate,4,200,296109.5,294903.5,297066.5,3108,10192197658261011864
bls,agg_verify,4,200,1931029.0,1913014.2,1962253.0,488,6720819025493773968
bls,aggregate,8,200,606935.5,603342.1,611283.0,1516,928577032200737864
bls,agg_verify,8,200,3445443.0,3379868.0,3507734.0,279,6295018380861767525
bls,aggregate,16,200,1278693.0,1261957.0,1289693.0,743,6539496582215043324
bls,agg_verify,16,200,5912399.0,5795461.0,5998721.0,200,1879924464967412048
bls,aggregate,32,200,2588364.5,2521411.0,2640984.0,372,18256248441743807240
bls,agg_verify,32,200,11392958.5,11210721.5,11540284.0,200,1879924464967412048
